DMA,Taylor Swift
Mankato MN,100
St. Joseph MO,86
Marquette MI,72
Bluefield-Beckley-Oak Hill WV,70
Sioux Falls(Mitchell) SD,68
Johnstown-Altoona PA,67
Terre Haute IN,67
La Crosse-Eau Claire WI,67
Columbia-Jefferson City MO,67
Topeka KS,66
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,65
Springfield MO,65
Green Bay-Appleton WI,64
Clarksburg-Weston WV,64
Portland-Auburn ME,64
Rapid City SD,64
Fargo-Valley City ND,63
Duluth MN-Superior WI,63
Quincy IL-Hannibal MO-Keokuk IA,63
Des Moines-Ames IA,63
Eureka CA,63
Madison WI,62
Binghamton NY,62
Evansville IN,62
Charleston-Huntington WV,62
Rochester MN-Mason City IA-Austin MN,61
Wausau-Rhinelander WI,61
Peoria-Bloomington IL,60
Davenport IA-Rock Island-Moline IL,60
Dayton OH,60
Pittsburgh PA,60
Kansas City MO,60
Toledo OH,60
Youngstown OH,60
"Billings, MT",59
Butte-Bozeman MT,59
Lexington KY,58
Missoula MT,58
Elmira NY,58
Cincinnati OH,58
Burlington VT-Plattsburgh NY,58
St. Louis MO,57
Traverse City-Cadillac MI,56
Ft. Smith-Fayetteville-Springdale-Rogers AR,56
Lincoln & Hastings-Kearney NE,56
Albany-Schenectady-Troy NY,55
Syracuse NY,55
Tri-Cities TN-VA,55
Providence RI-New Bedford MA,55
Ft. Wayne IN,55
Flint-Saginaw-Bay City MI,54
Bowling Green KY,54
Idaho Falls-Pocatello ID,54
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,54
Grand Rapids-Kalamazoo-Battle Creek MI,54
Lafayette IN,53
Knoxville TN,53
Charlottesville VA,53
Cleveland-Akron (Canton) OH,53
Rochester NY,53
Wilkes Barre-Scranton PA,53
Louisville KY,52
Sherman TX-Ada OK,52
South Bend-Elkhart IN,52
Laredo TX,52
Minneapolis-St. Paul MN,52
Lubbock TX,51
Champaign & Springfield-Decatur IL,51
Boise ID,51
Joplin MO-Pittsburg KS,51
Wheeling WV-Steubenville OH,51
Lima OH,51
Salt Lake City UT,50
Indianapolis IN,50
Bangor ME,50
Minot-Bismarck-Dickinson(Williston) ND,50
Medford-Klamath Falls OR,50
Grand Junction-Montrose CO,50
Roanoke-Lynchburg VA,49
Harrisburg-Lancaster-Lebanon-York PA,49
Colorado Springs-Pueblo CO,48
Corpus Christi TX,48
Eugene OR,48
Milwaukee WI,48
Wilmington NC,48
Buffalo NY,48
Springfield-Holyoke MA,47
Tyler-Longview(Lufkin & Nacogdoches) TX,47
Utica NY,47
Wichita-Hutchinson KS,47
Huntsville-Decatur (Florence) AL,47
San Angelo TX,47
Amarillo TX,47
Wichita Falls TX & Lawton OK,46
Panama City FL,46
Boston MA-Manchester NH,46
Great Falls MT,45
Denver CO,45
Harlingen-Weslaco-Brownsville-McAllen TX,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,45
Columbus OH,45
Nashville TN,45
Watertown NY,45
Twin Falls ID,45
Detroit MI,45
Greenville-New Bern-Washington NC,45
Oklahoma City OK,44
Charleston SC,44
Lansing MI,44
Tulsa OK,43
Gainesville FL,43
Lafayette LA,43
Salisbury MD,43
San Antonio TX,43
Chattanooga TN,43
Greensboro-High Point-Winston Salem NC,43
Austin TX,42
Abilene-Sweetwater TX,42
Hartford & New Haven CT,42
Raleigh-Durham (Fayetteville) NC,42
Santa Barbara-Santa Maria-San Luis Obispo CA,42
Reno NV,42
Jonesboro AR,42
New Orleans LA,42
Erie PA,42
Richmond-Petersburg VA,41
Harrisonburg VA,41
Biloxi-Gulfport MS,41
Dothan AL,41
Lake Charles LA,41
Baton Rouge LA,41
Tucson (Sierra Vista) AZ,40
Chicago IL,40
Cheyenne WY-Scottsbluff NE,40
Mobile AL-Pensacola (Ft. Walton Beach) FL,39
Columbia SC,39
Savannah GA,39
Rockford IL,39
Charlotte NC,39
San Diego CA,38
Waco-Temple-Bryan TX,38
Phoenix AZ,38
Birmingham AL,38
Albuquerque-Santa Fe NM,38
West Palm Beach-Ft. Pierce FL,37
Chico-Redding CA,37
Jackson TN,37
Sioux City IA,37
Orlando-Daytona Beach-Melbourne FL,37
Philadelphia PA,37
Bakersfield CA,36
Augusta GA,36
Fresno-Visalia CA,36
Alexandria LA,36
Shreveport LA,36
Monterey-Salinas CA,36
Spokane WA,36
Sacramento-Stockton-Modesto CA,35
Palm Springs CA,35
Monroe LA-El Dorado AR,35
Columbus-Tupelo-West Point MS,35
El Paso TX,35
Baltimore MD,35
Yakima-Pasco-Richland-Kennewick WA,35
San Francisco-Oakland-San Jose CA,35
Little Rock-Pine Bluff AR,35
Honolulu HI,35
Jacksonville FL,35
Macon GA,34
Jackson MS,34
Bend OR,34
Ft. Myers-Naples FL,34
Norfolk-Portsmouth-Newport News VA,34
Beaumont-Port Arthur TX,34
Tampa-St. Petersburg (Sarasota) FL,34
New York NY,33
Columbus GA,33
Anchorage AK,33
Florence-Myrtle Beach SC,32
Seattle-Tacoma WA,32
Hattiesburg-Laurel MS,32
Houston TX,32
Odessa-Midland TX,32
Tallahassee FL-Thomasville GA,31
Dallas-Ft. Worth TX,31
Albany GA,31
Yuma AZ-El Centro CA,31
Memphis TN,31
Las Vegas NV,31
Atlanta GA,29
Washington DC (Hagerstown MD),28
Montgomery (Selma) AL,28
Los Angeles CA,27
North Platte NE,26
Miami-Ft. Lauderdale FL,23
Portland OR,21
Omaha NE,20
Presque Isle ME,17
Parkersburg WV,16
Zanesville OH,15
Juneau AK,14
Ottumwa IA-Kirksville MO,13
Casper-Riverton WY,12
Helena MT,11
Victoria TX,10
Alpena MI,10
Fairbanks AK,8
Meridian MS,8
Greenwood-Greenville MS,5
Glendive MT,0
