DMA,Taylor Swift
St. Joseph MO,100
Idaho Falls-Pocatello ID,84
Helena MT,77
Terre Haute IN,75
Marquette MI,74
Traverse City-Cadillac MI,71
Mankato MN,71
Zanesville OH,70
Toledo OH,69
Johnstown-Altoona PA,69
Utica NY,69
Topeka KS,67
Madison WI,66
Parkersburg WV,66
"Billings, MT",66
Lexington KY,65
Jonesboro AR,65
Clarksburg-Weston WV,64
Davenport IA-Rock Island-Moline IL,64
Quincy IL-Hannibal MO-Keokuk IA,64
Peoria-Bloomington IL,63
Charleston-Huntington WV,63
San Angelo TX,63
Wausau-Rhinelander WI,62
Columbia-Jefferson City MO,62
Des Moines-Ames IA,62
Rapid City SD,62
La Crosse-Eau Claire WI,61
Rochester MN-Mason City IA-Austin MN,61
Lansing MI,61
Evansville IN,61
Fargo-Valley City ND,61
Joplin MO-Pittsburg KS,60
Ottumwa IA-Kirksville MO,60
Eureka CA,60
Green Bay-Appleton WI,60
Burlington VT-Plattsburgh NY,60
Bluefield-Beckley-Oak Hill WV,59
Pittsburgh PA,59
Kansas City MO,59
Duluth MN-Superior WI,59
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,59
Cincinnati OH,58
Albany-Schenectady-Troy NY,58
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,58
Panama City FL,58
South Bend-Elkhart IN,57
Sherman TX-Ada OK,57
Charlottesville VA,57
Sioux Falls(Mitchell) SD,56
Flint-Saginaw-Bay City MI,56
Grand Rapids-Kalamazoo-Battle Creek MI,56
Watertown NY,56
Wheeling WV-Steubenville OH,56
Minot-Bismarck-Dickinson(Williston) ND,56
Louisville KY,56
Lincoln & Hastings-Kearney NE,56
Elmira NY,56
Youngstown OH,56
Harrisburg-Lancaster-Lebanon-York PA,55
Biloxi-Gulfport MS,55
Colorado Springs-Pueblo CO,55
Bangor ME,55
Portland-Auburn ME,55
Wilkes Barre-Scranton PA,55
Ft. Wayne IN,54
Harrisonburg VA,54
St. Louis MO,53
Champaign & Springfield-Decatur IL,53
Indianapolis IN,53
Springfield-Holyoke MA,52
Syracuse NY,52
Wilmington NC,52
Fairbanks AK,52
Lafayette IN,52
Laredo TX,52
Buffalo NY,51
Corpus Christi TX,51
Tulsa OK,51
Tri-Cities TN-VA,51
Anchorage AK,51
Dothan AL,51
Eugene OR,50
Greenville-New Bern-Washington NC,50
Amarillo TX,50
Boise ID,50
Sioux City IA,50
Medford-Klamath Falls OR,50
Oklahoma City OK,50
Cleveland-Akron (Canton) OH,50
Wichita-Hutchinson KS,49
Springfield MO,49
Knoxville TN,49
Victoria TX,49
Bowling Green KY,49
Ft. Smith-Fayetteville-Springdale-Rogers AR,48
Gainesville FL,48
Salisbury MD,48
Rochester NY,48
Roanoke-Lynchburg VA,48
Providence RI-New Bedford MA,48
Spokane WA,48
Lima OH,47
Minneapolis-St. Paul MN,47
Nashville TN,47
Erie PA,47
Dayton OH,47
Boston MA-Manchester NH,46
Butte-Bozeman MT,46
Lafayette LA,46
Twin Falls ID,46
Columbus OH,46
Tucson (Sierra Vista) AZ,45
