DMA,Taylor Swift
Santa Barbara-Santa Maria-San Luis Obispo CA,45
Milwaukee WI,45
Hartford & New Haven CT,45
Bend OR,45
Lake Charles LA,45
Rockford IL,44
Charleston SC,44
Beaumont-Port Arthur TX,43
Columbus-Tupelo-West Point MS,43
Richmond-Petersburg VA,43
Abilene-Sweetwater TX,43
Harlingen-Weslaco-Brownsville-McAllen TX,43
San Antonio TX,43
Baton Rouge LA,42
Little Rock-Pine Bluff AR,42
Raleigh-Durham (Fayetteville) NC,42
Philadelphia PA,42
Huntsville-Decatur (Florence) AL,42
Missoula MT,42
Greenville-Spartanburg SC-Asheville NC-Anderson SC,42
Chattanooga TN,42
Grand Junction-Montrose CO,42
Jackson TN,41
Lubbock TX,41
New Orleans LA,41
Binghamton NY,41
Denver CO,41
Chicago IL,41
Detroit MI,40
Bakersfield CA,40
Hattiesburg-Laurel MS,40
Chico-Redding CA,40
Albuquerque-Santa Fe NM,40
Dallas-Ft. Worth TX,39
Charlotte NC,39
Odessa-Midland TX,39
Casper-Riverton WY,38
Yakima-Pasco-Richland-Kennewick WA,38
Wichita Falls TX & Lawton OK,38
Tyler-Longview(Lufkin & Nacogdoches) TX,38
Norfolk-Portsmouth-Newport News VA,38
Palm Springs CA,38
Jackson MS,38
Jacksonville FL,38
Monterey-Salinas CA,38
Reno NV,38
Salt Lake City UT,38
Shreveport LA,38
Mobile AL-Pensacola (Ft. Walton Beach) FL,38
Florence-Myrtle Beach SC,38
Austin TX,38
Greensboro-High Point-Winston Salem NC,38
Washington DC (Hagerstown MD),37
Savannah GA,37
Fresno-Visalia CA,37
Columbia SC,37
West Palm Beach-Ft. Pierce FL,36
Tampa-St. Petersburg (Sarasota) FL,36
Birmingham AL,36
San Francisco-Oakland-San Jose CA,36
Seattle-Tacoma WA,36
Ft. Myers-Naples FL,36
San Diego CA,35
Yuma AZ-El Centro CA,35
Waco-Temple-Bryan TX,35
Orlando-Daytona Beach-Melbourne FL,35
Memphis TN,35
Honolulu HI,35
El Paso TX,34
Sacramento-Stockton-Modesto CA,34
Phoenix AZ,34
Baltimore MD,33
Las Vegas NV,33
Augusta GA,33
Great Falls MT,32
New York NY,32
Macon GA,31
Cheyenne WY-Scottsbluff NE,31
Columbus GA,31
Houston TX,30
Atlanta GA,30
Montgomery (Selma) AL,30
Tallahassee FL-Thomasville GA,29
Miami-Ft. Lauderdale FL,26
Los Angeles CA,26
Omaha NE,26
Alexandria LA,25
Albany GA,24
Meridian MS,22
Portland OR,21
Monroe LA-El Dorado AR,21
Alpena MI,0
Glendive MT,0
Greenwood-Greenville MS,0
Juneau AK,0
North Platte NE,0
Presque Isle ME,0
