DMA,Taylor Swift
Washington DC (Hagerstown MD),46
Hattiesburg-Laurel MS,46
New York NY,45
Palm Springs CA,44
Columbia SC,44
Baton Rouge LA,44
Baltimore MD,44
Jackson MS,43
Las Vegas NV,43
Dothan AL,43
Bakersfield CA,43
Houston TX,43
Atlanta GA,41
Omaha NE,41
Columbus-Tupelo-West Point MS,41
Dallas-Ft. Worth TX,41
Shreveport LA,40
Juneau AK,40
Monroe LA-El Dorado AR,40
Yuma AZ-El Centro CA,38
Montgomery (Selma) AL,38
Albany GA,38
Meridian MS,37
Memphis TN,37
Los Angeles CA,36
Columbus GA,35
Macon GA,35
Fairbanks AK,34
Miami-Ft. Lauderdale FL,30
Portland OR,29
Greenwood-Greenville MS,17
Glendive MT,0
Alpena MI,0
