DMA,Taylor Swift
Burlington VT-Plattsburgh NY,100
Casper-Riverton WY,98
Duluth MN-Superior WI,96
Zanesville OH,96
Watertown NY,93
Bluefield-Beckley-Oak Hill WV,93
Elmira NY,89
Johnstown-Altoona PA,87
La Crosse-Eau Claire WI,87
Erie PA,87
Sioux Falls(Mitchell) SD,87
Madison WI,87
Des Moines-Ames IA,86
Fargo-Valley City ND,85
Binghamton NY,84
Traverse City-Cadillac MI,84
Grand Junction-Montrose CO,83
Springfield MO,82
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,81
Kansas City MO,80
Topeka KS,79
Great Falls MT,79
Wheeling WV-Steubenville OH,78
Presque Isle ME,78
Albany-Schenectady-Troy NY,78
Lansing MI,77
Terre Haute IN,77
Green Bay-Appleton WI,77
Toledo OH,76
Lexington KY,75
Pittsburgh PA,75
Missoula MT,75
Lincoln & Hastings-Kearney NE,74
Lafayette IN,74
Grand Rapids-Kalamazoo-Battle Creek MI,74
Cincinnati OH,74
Minneapolis-St. Paul MN,74
Sioux City IA,74
Charlottesville VA,74
Columbia-Jefferson City MO,74
Charleston-Huntington WV,74
Eugene OR,73
Quincy IL-Hannibal MO-Keokuk IA,73
St. Louis MO,73
Champaign & Springfield-Decatur IL,73
Biloxi-Gulfport MS,73
Evansville IN,72
Peoria-Bloomington IL,72
Rochester MN-Mason City IA-Austin MN,72
Portland-Auburn ME,72
Helena MT,72
Tri-Cities TN-VA,71
Wausau-Rhinelander WI,71
North Platte NE,71
Ft. Wayne IN,71
Bangor ME,71
Joplin MO-Pittsburg KS,70
Bowling Green KY,70
Cleveland-Akron (Canton) OH,70
Bend OR,70
Utica NY,70
Idaho Falls-Pocatello ID,70
Jonesboro AR,70
Harrisonburg VA,70
Minot-Bismarck-Dickinson(Williston) ND,70
Parkersburg WV,70
Sherman TX-Ada OK,69
Mankato MN,68
Davenport IA-Rock Island-Moline IL,68
Indianapolis IN,68
Providence RI-New Bedford MA,68
Wilkes Barre-Scranton PA,68
Knoxville TN,68
Hartford & New Haven CT,68
Flint-Saginaw-Bay City MI,68
Jackson TN,67
Syracuse NY,67
Roanoke-Lynchburg VA,67
Clarksburg-Weston WV,67
Corpus Christi TX,67
Boston MA-Manchester NH,66
Ft. Smith-Fayetteville-Springdale-Rogers AR,66
Harrisburg-Lancaster-Lebanon-York PA,66
Marquette MI,66
Youngstown OH,66
South Bend-Elkhart IN,66
Buffalo NY,66
Dayton OH,66
Ottumwa IA-Kirksville MO,65
Salt Lake City UT,65
Nashville TN,65
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,65
St. Joseph MO,64
Louisville KY,64
Oklahoma City OK,64
Wilmington NC,64
Laredo TX,64
"Billings, MT",63
Gainesville FL,63
Rapid City SD,63
Milwaukee WI,62
Rochester NY,62
Lima OH,60
Springfield-Holyoke MA,60
Panama City FL,59
Denver CO,59
Detroit MI,59
Butte-Bozeman MT,58
Chico-Redding CA,58
Philadelphia PA,58
Twin Falls ID,58
Salisbury MD,58
Tulsa OK,58
Yakima-Pasco-Richland-Kennewick WA,57
Lubbock TX,57
Tucson (Sierra Vista) AZ,57
Rockford IL,57
Santa Barbara-Santa Maria-San Luis Obispo CA,57
Eureka CA,57
Chicago IL,57
Austin TX,57
Colorado Springs-Pueblo CO,57
Raleigh-Durham (Fayetteville) NC,56
Columbus OH,56
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
Chattanooga TN,56
Medford-Klamath Falls OR,56
New Orleans LA,56
Boise ID,54
Richmond-Petersburg VA,54
Little Rock-Pine Bluff AR,54
Huntsville-Decatur (Florence) AL,54
Harlingen-Weslaco-Brownsville-McAllen TX,54
Waco-Temple-Bryan TX,53
Albuquerque-Santa Fe NM,53
Greenville-New Bern-Washington NC,53
Spokane WA,53
San Angelo TX,52
Birmingham AL,52
Tyler-Longview(Lufkin & Nacogdoches) TX,52
Lake Charles LA,52
Charleston SC,52
Anchorage AK,51
Abilene-Sweetwater TX,51
Greensboro-High Point-Winston Salem NC,51
Beaumont-Port Arthur TX,51
Wichita Falls TX & Lawton OK,51
Tampa-St. Petersburg (Sarasota) FL,51
San Diego CA,51
Reno NV,51
San Francisco-Oakland-San Jose CA,51
Norfolk-Portsmouth-Newport News VA,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,51
Victoria TX,50
West Palm Beach-Ft. Pierce FL,49
Orlando-Daytona Beach-Melbourne FL,49
Amarillo TX,49
Honolulu HI,49
Ft. Myers-Naples FL,49
Lafayette LA,48
Monterey-Salinas CA,48
Jacksonville FL,48
Fresno-Visalia CA,48
San Antonio TX,48
Alexandria LA,48
Charlotte NC,48
Phoenix AZ,48
Seattle-Tacoma WA,48
Cheyenne WY-Scottsbluff NE,47
Augusta GA,47
Tallahassee FL-Thomasville GA,47
Sacramento-Stockton-Modesto CA,47
El Paso TX,47
Savannah GA,46
Wichita-Hutchinson KS,46
Odessa-Midland TX,46
Florence-Myrtle Beach SC,46
