DMA,Taylor Swift
Ft. Smith-Fayetteville-Springdale-Rogers AR,56
Denver CO,56
Wichita-Hutchinson KS,56
Biloxi-Gulfport MS,55
Lansing MI,55
Eureka CA,55
Charleston SC,55
Oklahoma City OK,55
Harrisonburg VA,55
Philadelphia PA,55
Wilmington NC,55
Nashville TN,55
San Antonio TX,54
Youngstown OH,54
Chicago IL,54
Chattanooga TN,54
Detroit MI,54
Abilene-Sweetwater TX,54
Milwaukee WI,54
Columbus OH,54
Corpus Christi TX,53
San Angelo TX,53
Alpena MI,53
Grand Junction-Montrose CO,52
Greenville-Spartanburg SC-Asheville NC-Anderson SC,52
Great Falls MT,52
Twin Falls ID,52
Panama City FL,52
Huntsville-Decatur (Florence) AL,52
Jackson TN,52
Springfield-Holyoke MA,51
Tulsa OK,51
Laredo TX,51
Lake Charles LA,51
Wichita Falls TX & Lawton OK,50
Tucson (Sierra Vista) AZ,50
Harlingen-Weslaco-Brownsville-McAllen TX,50
Rochester NY,49
Spokane WA,49
Little Rock-Pine Bluff AR,49
Medford-Klamath Falls OR,49
Greenville-New Bern-Washington NC,49
Richmond-Petersburg VA,49
Austin TX,49
Orlando-Daytona Beach-Melbourne FL,48
Raleigh-Durham (Fayetteville) NC,48
Rockford IL,48
Charlotte NC,48
Birmingham AL,48
Baton Rouge LA,48
Dothan AL,48
Amarillo TX,48
Norfolk-Portsmouth-Newport News VA,48
Juneau AK,48
Gainesville FL,47
Seattle-Tacoma WA,47
Lafayette LA,47
Greensboro-High Point-Winston Salem NC,47
Lubbock TX,47
Chico-Redding CA,46
Alexandria LA,46
Salisbury MD,46
Cheyenne WY-Scottsbluff NE,46
Sacramento-Stockton-Modesto CA,46
Tampa-St. Petersburg (Sarasota) FL,46
Jacksonville FL,46
San Diego CA,46
Victoria TX,46
Phoenix AZ,46
Reno NV,46
Santa Barbara-Santa Maria-San Luis Obispo CA,46
Albuquerque-Santa Fe NM,45
Columbia SC,45
Ft. Myers-Naples FL,45
Mobile AL-Pensacola (Ft. Walton Beach) FL,45
Savannah GA,44
West Palm Beach-Ft. Pierce FL,44
Dallas-Ft. Worth TX,44
Eugene OR,44
Columbus-Tupelo-West Point MS,44
Fairbanks AK,44
Baltimore MD,43
Anchorage AK,43
Hattiesburg-Laurel MS,43
Florence-Myrtle Beach SC,43
Honolulu HI,43
Waco-Temple-Bryan TX,43
Fresno-Visalia CA,42
Tyler-Longview(Lufkin & Nacogdoches) TX,42
Houston TX,42
Palm Springs CA,41
El Paso TX,41
Las Vegas NV,40
Beaumont-Port Arthur TX,40
Yakima-Pasco-Richland-Kennewick WA,40
Odessa-Midland TX,40
Omaha NE,39
San Francisco-Oakland-San Jose CA,39
New York NY,39
Atlanta GA,39
Bakersfield CA,38
Los Angeles CA,38
Yuma AZ-El Centro CA,38
Shreveport LA,37
Monroe LA-El Dorado AR,37
Monterey-Salinas CA,37
Columbus GA,37
Memphis TN,36
Meridian MS,36
Jackson MS,36
Tallahassee FL-Thomasville GA,35
Augusta GA,34
Macon GA,34
Montgomery (Selma) AL,33
Miami-Ft. Lauderdale FL,33
Albany GA,32
Washington DC (Hagerstown MD),27
Portland OR,26
Greenwood-Greenville MS,24
