DMA,Taylor Swift
St. Joseph MO,100
Johnstown-Altoona PA,81
North Platte NE,81
Cincinnati OH,79
Kansas City MO,77
Quincy IL-Hannibal MO-Keokuk IA,76
Watertown NY,76
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,76
Davenport IA-Rock Island-Moline IL,75
Des Moines-Ames IA,75
Presque Isle ME,75
Mankato MN,73
Elmira NY,73
Charlottesville VA,73
Springfield MO,73
Parkersburg WV,73
Pittsburgh PA,72
Terre Haute IN,72
Albany-Schenectady-Troy NY,71
Indianapolis IN,70
Peoria-Bloomington IL,70
Portland-Auburn ME,70
Zanesville OH,70
Duluth MN-Superior WI,70
Evansville IN,70
Green Bay-Appleton WI,70
La Crosse-Eau Claire WI,69
Rochester MN-Mason City IA-Austin MN,69
Marquette MI,69
Sioux Falls(Mitchell) SD,69
Madison WI,69
Columbia-Jefferson City MO,68
Toledo OH,68
Joplin MO-Pittsburg KS,68
Topeka KS,67
Burlington VT-Plattsburgh NY,67
Bluefield-Beckley-Oak Hill WV,67
"Billings, MT",67
Minneapolis-St. Paul MN,67
Helena MT,67
Wheeling WV-Steubenville OH,66
Tri-Cities TN-VA,66
Clarksburg-Weston WV,66
Jonesboro AR,66
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,66
South Bend-Elkhart IN,65
Missoula MT,65
Wausau-Rhinelander WI,65
Rapid City SD,65
Traverse City-Cadillac MI,65
Fargo-Valley City ND,65
Butte-Bozeman MT,65
Charleston-Huntington WV,65
Grand Rapids-Kalamazoo-Battle Creek MI,64
Idaho Falls-Pocatello ID,64
Cleveland-Akron (Canton) OH,64
Dayton OH,63
Syracuse NY,63
Ottumwa IA-Kirksville MO,63
Minot-Bismarck-Dickinson(Williston) ND,62
Sioux City IA,62
Buffalo NY,62
Wilkes Barre-Scranton PA,62
Salt Lake City UT,62
Utica NY,62
Champaign & Springfield-Decatur IL,61
Bangor ME,61
Binghamton NY,61
Flint-Saginaw-Bay City MI,61
Roanoke-Lynchburg VA,61
Lincoln & Hastings-Kearney NE,61
Bowling Green KY,61
Louisville KY,60
Providence RI-New Bedford MA,60
Boston MA-Manchester NH,60
Boise ID,60
Ft. Wayne IN,60
St. Louis MO,59
Glendive MT,59
Erie PA,59
Bend OR,59
Knoxville TN,59
Lima OH,59
Harrisburg-Lancaster-Lebanon-York PA,59
Lexington KY,59
Colorado Springs-Pueblo CO,58
Lafayette IN,58
New Orleans LA,58
Hartford & New Haven CT,57
Casper-Riverton WY,57
Sherman TX-Ada OK,56
