DMA,Taylor Swift
Zanesville OH,100
St. Joseph MO,87
Parkersburg WV,86
Charlottesville VA,85
Rochester MN-Mason City IA-Austin MN,81
New Orleans LA,79
Duluth MN-Superior WI,76
Davenport IA-Rock Island-Moline IL,75
Wausau-Rhinelander WI,75
Terre Haute IN,75
North Platte NE,73
La Crosse-Eau Claire WI,72
Watertown NY,71
Elmira NY,71
Evansville IN,70
Sioux Falls(Mitchell) SD,70
Charleston-Huntington WV,69
Fargo-Valley City ND,68
Quincy IL-Hannibal MO-Keokuk IA,67
Topeka KS,67
Johnstown-Altoona PA,67
Joplin MO-Pittsburg KS,67
Helena MT,66
Clarksburg-Weston WV,66
Columbia-Jefferson City MO,66
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,65
Madison WI,65
Traverse City-Cadillac MI,65
Green Bay-Appleton WI,64
Utica NY,64
Lansing MI,63
Cincinnati OH,63
Marquette MI,63
San Angelo TX,62
Burlington VT-Plattsburgh NY,62
Lincoln & Hastings-Kearney NE,62
Ft. Smith-Fayetteville-Springdale-Rogers AR,62
Des Moines-Ames IA,62
Baton Rouge LA,62
Biloxi-Gulfport MS,62
Portland-Auburn ME,61
Jackson TN,61
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,61
Toledo OH,61
Peoria-Bloomington IL,61
Rapid City SD,60
Binghamton NY,60
Ft. Wayne IN,60
Wilkes Barre-Scranton PA,60
Bangor ME,60
Kansas City MO,60
Minot-Bismarck-Dickinson(Williston) ND,60
Boise ID,59
Indianapolis IN,59
South Bend-Elkhart IN,59
Springfield MO,59
Missoula MT,59
Casper-Riverton WY,58
"Billings, MT",58
Bowling Green KY,58
Youngstown OH,58
Idaho Falls-Pocatello ID,58
Champaign & Springfield-Decatur IL,58
Albany-Schenectady-Troy NY,58
Grand Rapids-Kalamazoo-Battle Creek MI,58
Bluefield-Beckley-Oak Hill WV,57
Lafayette IN,57
Ottumwa IA-Kirksville MO,57
Colorado Springs-Pueblo CO,57
St. Louis MO,57
Panama City FL,57
Lexington KY,57
Wilmington NC,56
Tri-Cities TN-VA,56
Sioux City IA,56
Jonesboro AR,56
Syracuse NY,55
Dothan AL,55
Pittsburgh PA,55
Eugene OR,54
Lima OH,54
Wheeling WV-Steubenville OH,54
Erie PA,53
Alexandria LA,53
Bend OR,53
Roanoke-Lynchburg VA,53
Boston MA-Manchester NH,53
Cleveland-Akron (Canton) OH,53
Providence RI-New Bedford MA,52
Mankato MN,52
Louisville KY,52
Mobile AL-Pensacola (Ft. Walton Beach) FL,52
Knoxville TN,52
Wichita-Hutchinson KS,52
Abilene-Sweetwater TX,52
Flint-Saginaw-Bay City MI,51
Tulsa OK,51
Dayton OH,51
Minneapolis-St. Paul MN,51
Charleston SC,50
Buffalo NY,50
Gainesville FL,50
Lake Charles LA,50
West Palm Beach-Ft. Pierce FL,50
Lafayette LA,50
Columbus OH,49
Harrisburg-Lancaster-Lebanon-York PA,49
Huntsville-Decatur (Florence) AL,49
Springfield-Holyoke MA,49
Laredo TX,49
Corpus Christi TX,49
Greenville-New Bern-Washington NC,49
Oklahoma City OK,48
Rockford IL,48
Hartford & New Haven CT,47
Salt Lake City UT,47
Medford-Klamath Falls OR,47
Chico-Redding CA,47
Anchorage AK,47
Milwaukee WI,47
Chicago IL,46
Grand Junction-Montrose CO,46
Great Falls MT,46
Philadelphia PA,46
Wichita Falls TX & Lawton OK,46
Tucson (Sierra Vista) AZ,45
Tyler-Longview(Lufkin & Nacogdoches) TX,45
Denver CO,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,45
Ft. Myers-Naples FL,45
Little Rock-Pine Bluff AR,44
Richmond-Petersburg VA,44
Spokane WA,44
Greensboro-High Point-Winston Salem NC,44
Amarillo TX,44
Twin Falls ID,44
Reno NV,44
Rochester NY,44
Butte-Bozeman MT,44
Chattanooga TN,44
Sherman TX-Ada OK,43
Juneau AK,43
Lubbock TX,43
Miami-Ft. Lauderdale FL,43
Nashville TN,43
Hattiesburg-Laurel MS,43
San Antonio TX,43
Birmingham AL,42
Harrisonburg VA,42
Waco-Temple-Bryan TX,42
Salisbury MD,42
Austin TX,42
Dallas-Ft. Worth TX,42
Columbia SC,41
Tampa-St. Petersburg (Sarasota) FL,41
Shreveport LA,41
Palm Springs CA,41
Albuquerque-Santa Fe NM,41
Florence-Myrtle Beach SC,41
Monroe LA-El Dorado AR,41
Savannah GA,41
Yakima-Pasco-Richland-Kennewick WA,40
Norfolk-Portsmouth-Newport News VA,40
Detroit MI,40
Harlingen-Weslaco-Brownsville-McAllen TX,40
Tallahassee FL-Thomasville GA,40
Orlando-Daytona Beach-Melbourne FL,40
Bakersfield CA,39
Phoenix AZ,39
Raleigh-Durham (Fayetteville) NC,39
Santa Barbara-Santa Maria-San Luis Obispo CA,39
Seattle-Tacoma WA,39
San Diego CA,38
Victoria TX,38
Honolulu HI,38
Jacksonville FL,38
El Paso TX,38
Fresno-Visalia CA,37
San Francisco-Oakland-San Jose CA,37
Columbus-Tupelo-West Point MS,37
Houston TX,37
New York NY,37
Charlotte NC,37
Monterey-Salinas CA,36
Odessa-Midland TX,36
Jackson MS,35
Columbus GA,35
Greenwood-Greenville MS,35
Augusta GA,35
Atlanta GA,35
Eureka CA,35
Macon GA,34
Yuma AZ-El Centro CA,34
Omaha NE,34
Sacramento-Stockton-Modesto CA,33
Montgomery (Selma) AL,33
Cheyenne WY-Scottsbluff NE,33
Los Angeles CA,33
Baltimore MD,33
Beaumont-Port Arthur TX,32
Las Vegas NV,32
Memphis TN,31
Albany GA,28
Meridian MS,26
Portland OR,26
Washington DC (Hagerstown MD),9
Glendive MT,0
Fairbanks AK,0
Alpena MI,0
Presque Isle ME,0
