DMA,Taylor Swift
Helena MT,100
North Platte NE,90
Presque Isle ME,83
Zanesville OH,81
St. Joseph MO,78
Johnstown-Altoona PA,78
La Crosse-Eau Claire WI,75
Mankato MN,72
Rapid City SD,72
Marquette MI,71
Charlottesville VA,71
Burlington VT-Plattsburgh NY,71
Duluth MN-Superior WI,70
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,70
Traverse City-Cadillac MI,70
Parkersburg WV,70
Wheeling WV-Steubenville OH,69
Davenport IA-Rock Island-Moline IL,68
Idaho Falls-Pocatello ID,68
Topeka KS,67
Juneau AK,66
Evansville IN,66
Elmira NY,66
Minot-Bismarck-Dickinson(Williston) ND,66
Madison WI,66
Springfield MO,66
Quincy IL-Hannibal MO-Keokuk IA,65
Des Moines-Ames IA,65
Terre Haute IN,65
Toledo OH,64
Charleston-Huntington WV,64
Erie PA,64
Green Bay-Appleton WI,64
Columbia-Jefferson City MO,64
Ft. Wayne IN,63
Kansas City MO,63
Eureka CA,63
Joplin MO-Pittsburg KS,62
Binghamton NY,62
Champaign & Springfield-Decatur IL,62
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,62
Portland-Auburn ME,61
Bowling Green KY,61
Watertown NY,61
Wausau-Rhinelander WI,61
Lincoln & Hastings-Kearney NE,61
Sioux Falls(Mitchell) SD,61
Butte-Bozeman MT,61
Colorado Springs-Pueblo CO,61
Albany-Schenectady-Troy NY,60
Lexington KY,60
Peoria-Bloomington IL,60
Grand Junction-Montrose CO,60
Cincinnati OH,60
Pittsburgh PA,60
Clarksburg-Weston WV,59
San Angelo TX,59
Fargo-Valley City ND,59
Rochester MN-Mason City IA-Austin MN,59
Sioux City IA,58
Eugene OR,58
Tulsa OK,57
Casper-Riverton WY,57
Dayton OH,57
Lake Charles LA,57
Bend OR,57
Utica NY,57
Syracuse NY,57
Grand Rapids-Kalamazoo-Battle Creek MI,56
Bluefield-Beckley-Oak Hill WV,56
Cheyenne WY-Scottsbluff NE,56
Missoula MT,56
Wilkes Barre-Scranton PA,56
Twin Falls ID,55
Rochester NY,55
Biloxi-Gulfport MS,55
Bangor ME,55
Youngstown OH,54
Great Falls MT,54
Tri-Cities TN-VA,54
Sherman TX-Ada OK,54
Corpus Christi TX,54
Ottumwa IA-Kirksville MO,53
Ft. Smith-Fayetteville-Springdale-Rogers AR,53
Boise ID,53
Indianapolis IN,53
Chattanooga TN,52
Louisville KY,52
St. Louis MO,52
Amarillo TX,52
"Billings, MT",52
Abilene-Sweetwater TX,52
Flint-Saginaw-Bay City MI,51
Wilmington NC,51
Medford-Klamath Falls OR,51
Providence RI-New Bedford MA,51
Buffalo NY,51
Spokane WA,50
Knoxville TN,50
Jonesboro AR,50
