DMA,Taylor Swift
Wichita Falls TX & Lawton OK,50
Wichita-Hutchinson KS,50
South Bend-Elkhart IN,50
Oklahoma City OK,50
Cleveland-Akron (Canton) OH,49
Huntsville-Decatur (Florence) AL,49
Salt Lake City UT,49
Salisbury MD,49
Minneapolis-St. Paul MN,49
Lubbock TX,49
Laredo TX,48
Charleston SC,47
Hartford & New Haven CT,47
Harrisburg-Lancaster-Lebanon-York PA,47
Lansing MI,46
Richmond-Petersburg VA,46
Roanoke-Lynchburg VA,46
Milwaukee WI,46
Harlingen-Weslaco-Brownsville-McAllen TX,45
San Antonio TX,45
Boston MA-Manchester NH,45
Chicago IL,45
Nashville TN,45
Springfield-Holyoke MA,45
Philadelphia PA,45
Baton Rouge LA,44
Anchorage AK,44
Victoria TX,44
Waco-Temple-Bryan TX,44
Rockford IL,44
New Orleans LA,44
Greenville-Spartanburg SC-Asheville NC-Anderson SC,44
Chico-Redding CA,44
Lima OH,43
Fairbanks AK,43
Denver CO,43
Harrisonburg VA,43
Little Rock-Pine Bluff AR,43
Florence-Myrtle Beach SC,43
Columbus OH,43
Albuquerque-Santa Fe NM,42
Greenville-New Bern-Washington NC,42
Mobile AL-Pensacola (Ft. Walton Beach) FL,42
Tucson (Sierra Vista) AZ,42
Santa Barbara-Santa Maria-San Luis Obispo CA,42
Jacksonville FL,42
Reno NV,41
Savannah GA,41
Hattiesburg-Laurel MS,41
Lafayette LA,41
Detroit MI,41
Greensboro-High Point-Winston Salem NC,41
Dothan AL,41
Beaumont-Port Arthur TX,41
Norfolk-Portsmouth-Newport News VA,41
Panama City FL,41
Raleigh-Durham (Fayetteville) NC,41
Jackson TN,40
Yakima-Pasco-Richland-Kennewick WA,39
Austin TX,39
Dallas-Ft. Worth TX,39
Gainesville FL,39
Bakersfield CA,38
Odessa-Midland TX,38
San Diego CA,38
Tyler-Longview(Lufkin & Nacogdoches) TX,38
San Francisco-Oakland-San Jose CA,38
Seattle-Tacoma WA,38
Alexandria LA,38
Fresno-Visalia CA,38
El Paso TX,38
Columbia SC,38
Charlotte NC,37
Birmingham AL,37
Tallahassee FL-Thomasville GA,37
Tampa-St. Petersburg (Sarasota) FL,37
Montgomery (Selma) AL,37
Augusta GA,36
Macon GA,36
West Palm Beach-Ft. Pierce FL,36
Phoenix AZ,36
Jackson MS,36
Honolulu HI,36
Monroe LA-El Dorado AR,36
Washington DC (Hagerstown MD),35
Greenwood-Greenville MS,35
Baltimore MD,35
Sacramento-Stockton-Modesto CA,35
Orlando-Daytona Beach-Melbourne FL,35
Palm Springs CA,35
Houston TX,34
Columbus GA,34
Ft. Myers-Naples FL,34
Las Vegas NV,34
New York NY,34
Yuma AZ-El Centro CA,34
Shreveport LA,33
Monterey-Salinas CA,33
Atlanta GA,33
Columbus-Tupelo-West Point MS,32
Lafayette IN,31
Memphis TN,31
Omaha NE,31
Meridian MS,30
Miami-Ft. Lauderdale FL,25
Albany GA,22
Los Angeles CA,21
Portland OR,21
Glendive MT,0
Alpena MI,0
