DMA,Taylor Swift
St. Joseph MO,100
Presque Isle ME,89
Jonesboro AR,85
Watertown NY,80
Ottumwa IA-Kirksville MO,78
Terre Haute IN,76
Topeka KS,74
Harrisonburg VA,73
Johnstown-Altoona PA,70
Minot-Bismarck-Dickinson(Williston) ND,70
Biloxi-Gulfport MS,70
Fargo-Valley City ND,69
Evansville IN,69
Wausau-Rhinelander WI,69
Rochester MN-Mason City IA-Austin MN,69
Rapid City SD,69
La Crosse-Eau Claire WI,69
Columbia-Jefferson City MO,69
Missoula MT,68
Madison WI,67
Burlington VT-Plattsburgh NY,67
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,67
Erie PA,66
Idaho Falls-Pocatello ID,66
Quincy IL-Hannibal MO-Keokuk IA,66
Sherman TX-Ada OK,65
Joplin MO-Pittsburg KS,65
Clarksburg-Weston WV,64
Jackson TN,64
Lincoln & Hastings-Kearney NE,64
Green Bay-Appleton WI,64
Ft. Wayne IN,64
Des Moines-Ames IA,63
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,63
Wheeling WV-Steubenville OH,62
Sioux Falls(Mitchell) SD,62
Mankato MN,62
Wilkes Barre-Scranton PA,62
Toledo OH,62
Peoria-Bloomington IL,61
Tri-Cities TN-VA,61
Portland-Auburn ME,60
Traverse City-Cadillac MI,60
South Bend-Elkhart IN,60
Butte-Bozeman MT,59
Colorado Springs-Pueblo CO,59
Pittsburgh PA,59
Helena MT,58
Kansas City MO,58
Lexington KY,58
"Billings, MT",57
Bowling Green KY,57
Springfield MO,57
Davenport IA-Rock Island-Moline IL,57
Charleston-Huntington WV,56
Lansing MI,56
Bend OR,56
Elmira NY,55
Wichita-Hutchinson KS,55
Ft. Smith-Fayetteville-Springdale-Rogers AR,55
Wilmington NC,55
Boise ID,54
Chico-Redding CA,54
Bluefield-Beckley-Oak Hill WV,54
Duluth MN-Superior WI,54
Champaign & Springfield-Decatur IL,54
Lake Charles LA,54
Albany-Schenectady-Troy NY,54
Syracuse NY,53
Sioux City IA,53
Youngstown OH,53
Tulsa OK,53
Lima OH,53
Panama City FL,53
Charleston SC,53
Louisville KY,53
Dayton OH,52
Cincinnati OH,52
Rochester NY,52
Laredo TX,52
Knoxville TN,52
Roanoke-Lynchburg VA,52
Utica NY,52
Providence RI-New Bedford MA,52
Indianapolis IN,52
Reno NV,51
Cleveland-Akron (Canton) OH,51
St. Louis MO,51
Binghamton NY,51
Grand Rapids-Kalamazoo-Battle Creek MI,51
Minneapolis-St. Paul MN,51
Medford-Klamath Falls OR,51
Boston MA-Manchester NH,50
Bangor ME,50
Charlottesville VA,50
Chattanooga TN,50
Eureka CA,50
Flint-Saginaw-Bay City MI,49
Casper-Riverton WY,49
Great Falls MT,49
Salt Lake City UT,48
Buffalo NY,48
Harrisburg-Lancaster-Lebanon-York PA,48
Spokane WA,48
Rockford IL,48
Richmond-Petersburg VA,48
Eugene OR,48
Huntsville-Decatur (Florence) AL,47
Oklahoma City OK,47
New Orleans LA,47
San Angelo TX,46
Milwaukee WI,46
Amarillo TX,46
Columbus OH,46
Corpus Christi TX,46
Dothan AL,46
Gainesville FL,45
Columbus-Tupelo-West Point MS,45
Denver CO,45
Grand Junction-Montrose CO,45
Tucson (Sierra Vista) AZ,45
Philadelphia PA,45
Salisbury MD,45
Hartford & New Haven CT,45
Nashville TN,45
Springfield-Holyoke MA,45
Little Rock-Pine Bluff AR,45
Lubbock TX,44
Lafayette IN,44
Marquette MI,44
Greenville-New Bern-Washington NC,44
Chicago IL,44
Greenville-Spartanburg SC-Asheville NC-Anderson SC,44
Alexandria LA,44
San Antonio TX,43
Wichita Falls TX & Lawton OK,43
Birmingham AL,43
Detroit MI,43
Bakersfield CA,42
Cheyenne WY-Scottsbluff NE,42
Monterey-Salinas CA,42
Santa Barbara-Santa Maria-San Luis Obispo CA,42
Twin Falls ID,42
Abilene-Sweetwater TX,41
Anchorage AK,41
Albuquerque-Santa Fe NM,41
Seattle-Tacoma WA,41
Raleigh-Durham (Fayetteville) NC,41
Harlingen-Weslaco-Brownsville-McAllen TX,41
Ft. Myers-Naples FL,41
Fairbanks AK,41
Lafayette LA,41
Yakima-Pasco-Richland-Kennewick WA,41
Austin TX,40
Hattiesburg-Laurel MS,40
Waco-Temple-Bryan TX,40
Norfolk-Portsmouth-Newport News VA,40
Tyler-Longview(Lufkin & Nacogdoches) TX,40
Jacksonville FL,40
Columbia SC,39
Shreveport LA,39
Charlotte NC,39
Tallahassee FL-Thomasville GA,39
Tampa-St. Petersburg (Sarasota) FL,38
Jackson MS,38
San Diego CA,38
Florence-Myrtle Beach SC,38
Baton Rouge LA,38
Greensboro-High Point-Winston Salem NC,38
Macon GA,38
Atlanta GA,38
Beaumont-Port Arthur TX,38
Fresno-Visalia CA,37
El Paso TX,37
Orlando-Daytona Beach-Melbourne FL,37
Houston TX,37
Phoenix AZ,37
Savannah GA,37
West Palm Beach-Ft. Pierce FL,37
Odessa-Midland TX,37
San Francisco-Oakland-San Jose CA,36
Victoria TX,36
Honolulu HI,36
Augusta GA,36
Columbus GA,36
Dallas-Ft. Worth TX,36
Mobile AL-Pensacola (Ft. Walton Beach) FL,36
Las Vegas NV,36
Washington DC (Hagerstown MD),35
Sacramento-Stockton-Modesto CA,35
Baltimore MD,35
Zanesville OH,34
New York NY,34
Montgomery (Selma) AL,34
Palm Springs CA,33
Memphis TN,32
Yuma AZ-El Centro CA,32
Albany GA,29
