DMA,Taylor Swift
Presque Isle ME,100
Terre Haute IN,100
Helena MT,95
Indianapolis IN,94
"Billings, MT",92
Quincy IL-Hannibal MO-Keokuk IA,92
Watertown NY,91
St. Joseph MO,90
Elmira NY,90
Bluefield-Beckley-Oak Hill WV,82
La Crosse-Eau Claire WI,79
Columbia-Jefferson City MO,79
Butte-Bozeman MT,79
Ft. Wayne IN,79
Zanesville OH,79
Green Bay-Appleton WI,78
Marquette MI,78
Johnstown-Altoona PA,77
Missoula MT,76
Evansville IN,75
Toledo OH,75
Lafayette IN,75
Davenport IA-Rock Island-Moline IL,74
Wausau-Rhinelander WI,74
Springfield MO,73
Charleston-Huntington WV,73
Rochester NY,73
Topeka KS,73
Bowling Green KY,72
Duluth MN-Superior WI,72
Des Moines-Ames IA,71
Utica NY,71
Traverse City-Cadillac MI,70
Charlottesville VA,70
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,70
Cincinnati OH,70
South Bend-Elkhart IN,69
Rochester MN-Mason City IA-Austin MN,69
Lincoln & Hastings-Kearney NE,69
Portland-Auburn ME,68
Lexington KY,68
Peoria-Bloomington IL,67
Albany-Schenectady-Troy NY,67
Idaho Falls-Pocatello ID,67
Youngstown OH,66
Mankato MN,66
Madison WI,66
Wheeling WV-Steubenville OH,66
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,66
Sioux Falls(Mitchell) SD,66
Flint-Saginaw-Bay City MI,66
Biloxi-Gulfport MS,65
Dayton OH,65
Buffalo NY,65
Minot-Bismarck-Dickinson(Williston) ND,65
Kansas City MO,65
Wilmington NC,65
Fargo-Valley City ND,65
Grand Rapids-Kalamazoo-Battle Creek MI,64
Fairbanks AK,64
Sherman TX-Ada OK,64
Pittsburgh PA,64
Great Falls MT,64
Ottumwa IA-Kirksville MO,63
Lima OH,63
Burlington VT-Plattsburgh NY,63
Rapid City SD,63
Lansing MI,63
Eugene OR,62
Syracuse NY,62
Rockford IL,62
St. Louis MO,62
Wilkes Barre-Scranton PA,61
Harrisonburg VA,61
Ft. Smith-Fayetteville-Springdale-Rogers AR,61
Erie PA,61
Binghamton NY,61
Tri-Cities TN-VA,60
Clarksburg-Weston WV,60
New Orleans LA,60
Jonesboro AR,60
Louisville KY,60
Grand Junction-Montrose CO,59
Sioux City IA,59
Joplin MO-Pittsburg KS,58
Champaign & Springfield-Decatur IL,58
Cleveland-Akron (Canton) OH,57
Colorado Springs-Pueblo CO,57
Corpus Christi TX,56
Laredo TX,56
Boise ID,56
Parkersburg WV,55
Milwaukee WI,55
Harrisburg-Lancaster-Lebanon-York PA,55
Casper-Riverton WY,55
Knoxville TN,55
Chattanooga TN,54
Boston MA-Manchester NH,54
Lake Charles LA,54
Baton Rouge LA,54
Wichita Falls TX & Lawton OK,54
Minneapolis-St. Paul MN,54
Philadelphia PA,53
Tulsa OK,52
Richmond-Petersburg VA,52
Bangor ME,52
Dothan AL,52
Roanoke-Lynchburg VA,52
Hartford & New Haven CT,52
San Angelo TX,51
Lubbock TX,51
Lafayette LA,51
Oklahoma City OK,51
Santa Barbara-Santa Maria-San Luis Obispo CA,51
Columbus-Tupelo-West Point MS,51
Columbus OH,51
Chico-Redding CA,51
Chicago IL,50
Greenville-Spartanburg SC-Asheville NC-Anderson SC,50
Greenville-New Bern-Washington NC,50
Alexandria LA,50
Providence RI-New Bedford MA,50
Huntsville-Decatur (Florence) AL,50
Salt Lake City UT,50
Panama City FL,50
Medford-Klamath Falls OR,50
Tucson (Sierra Vista) AZ,49
Abilene-Sweetwater TX,49
Denver CO,49
Little Rock-Pine Bluff AR,48
Anchorage AK,48
Bend OR,48
Detroit MI,48
Charleston SC,48
Wichita-Hutchinson KS,48
Norfolk-Portsmouth-Newport News VA,47
Nashville TN,47
San Antonio TX,47
Greensboro-High Point-Winston Salem NC,46
Harlingen-Weslaco-Brownsville-McAllen TX,46
Victoria TX,46
Springfield-Holyoke MA,46
Reno NV,46
Dallas-Ft. Worth TX,45
Amarillo TX,45
Columbus GA,45
Yakima-Pasco-Richland-Kennewick WA,45
Waco-Temple-Bryan TX,45
Jacksonville FL,45
Mobile AL-Pensacola (Ft. Walton Beach) FL,45
Jackson TN,45
Bakersfield CA,44
Cheyenne WY-Scottsbluff NE,44
Birmingham AL,44
Salisbury MD,44
Spokane WA,43
Tyler-Longview(Lufkin & Nacogdoches) TX,43
Monterey-Salinas CA,43
Odessa-Midland TX,43
Ft. Myers-Naples FL,42
San Francisco-Oakland-San Jose CA,42
Raleigh-Durham (Fayetteville) NC,42
Columbia SC,42
New York NY,41
Meridian MS,41
West Palm Beach-Ft. Pierce FL,41
Seattle-Tacoma WA,41
Shreveport LA,41
El Paso TX,41
Gainesville FL,41
Albuquerque-Santa Fe NM,41
Austin TX,41
Fresno-Visalia CA,40
Florence-Myrtle Beach SC,40
Yuma AZ-El Centro CA,40
Palm Springs CA,40
San Diego CA,40
Tampa-St. Petersburg (Sarasota) FL,40
Orlando-Daytona Beach-Melbourne FL,40
Charlotte NC,39
Omaha NE,39
Twin Falls ID,39
Houston TX,39
Macon GA,39
Hattiesburg-Laurel MS,39
Savannah GA,38
Baltimore MD,38
Eureka CA,38
Sacramento-Stockton-Modesto CA,37
Memphis TN,37
Beaumont-Port Arthur TX,37
Atlanta GA,36
Augusta GA,36
Honolulu HI,36
Tallahassee FL-Thomasville GA,36
Phoenix AZ,36
Jackson MS,36
Monroe LA-El Dorado AR,35
Las Vegas NV,34
Los Angeles CA,32
Albany GA,29
Montgomery (Selma) AL,28
Miami-Ft. Lauderdale FL,27
Portland OR,21
Greenwood-Greenville MS,17
Washington DC (Hagerstown MD),13
Glendive MT,0
Alpena MI,0
North Platte NE,0
Juneau AK,0
