DMA,Taylor Swift
St. Joseph MO,100
Presque Isle ME,91
Duluth MN-Superior WI,79
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,76
Charlottesville VA,76
Columbia-Jefferson City MO,75
Johnstown-Altoona PA,75
Marquette MI,73
Green Bay-Appleton WI,72
Mankato MN,72
Topeka KS,72
Lima OH,72
La Crosse-Eau Claire WI,71
Parkersburg WV,71
Victoria TX,69
"Billings, MT",69
Fargo-Valley City ND,68
Bowling Green KY,68
Traverse City-Cadillac MI,68
Quincy IL-Hannibal MO-Keokuk IA,68
Springfield MO,67
Wheeling WV-Steubenville OH,67
Clarksburg-Weston WV,67
Idaho Falls-Pocatello ID,66
Rochester MN-Mason City IA-Austin MN,65
Utica NY,65
Sioux Falls(Mitchell) SD,65
Evansville IN,64
Boise ID,64
Eureka CA,64
Missoula MT,64
Peoria-Bloomington IL,63
Portland-Auburn ME,63
Terre Haute IN,63
Burlington VT-Plattsburgh NY,63
Biloxi-Gulfport MS,63
Toledo OH,62
Rapid City SD,62
Des Moines-Ames IA,62
Madison WI,62
Kansas City MO,62
Watertown NY,62
Charleston-Huntington WV,62
Elmira NY,62
Dayton OH,61
Ft. Wayne IN,61
South Bend-Elkhart IN,61
Binghamton NY,61
Davenport IA-Rock Island-Moline IL,61
Albany-Schenectady-Troy NY,61
Sioux City IA,60
Zanesville OH,60
Minneapolis-St. Paul MN,59
Wilmington NC,59
Cincinnati OH,59
Bangor ME,59
Springfield-Holyoke MA,59
Grand Rapids-Kalamazoo-Battle Creek MI,58
Wilkes Barre-Scranton PA,58
Tri-Cities TN-VA,58
Joplin MO-Pittsburg KS,58
Ottumwa IA-Kirksville MO,58
Twin Falls ID,58
Chico-Redding CA,57
Butte-Bozeman MT,57
Flint-Saginaw-Bay City MI,57
Wausau-Rhinelander WI,57
Harrisburg-Lancaster-Lebanon-York PA,57
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,57
Minot-Bismarck-Dickinson(Williston) ND,57
Denver CO,56
Providence RI-New Bedford MA,56
Champaign & Springfield-Decatur IL,56
Lansing MI,55
Corpus Christi TX,55
Lincoln & Hastings-Kearney NE,55
Syracuse NY,55
Pittsburgh PA,55
Bluefield-Beckley-Oak Hill WV,55
Erie PA,55
Grand Junction-Montrose CO,55
Great Falls MT,54
Jonesboro AR,54
Harrisonburg VA,54
Louisville KY,54
Indianapolis IN,54
Boston MA-Manchester NH,54
Lexington KY,53
Helena MT,53
Youngstown OH,53
Buffalo NY,53
Eugene OR,52
Greenville-Spartanburg SC-Asheville NC-Anderson SC,52
Colorado Springs-Pueblo CO,52
Roanoke-Lynchburg VA,52
Greenville-New Bern-Washington NC,51
Cleveland-Akron (Canton) OH,51
Spokane WA,51
Rockford IL,50
Milwaukee WI,50
Salt Lake City UT,50
Reno NV,50
Tulsa OK,50
Chattanooga TN,50
Ft. Smith-Fayetteville-Springdale-Rogers AR,50
Amarillo TX,49
Bend OR,49
Salisbury MD,49
Lake Charles LA,49
Wichita-Hutchinson KS,49
Lafayette IN,48
Lubbock TX,48
Hartford & New Haven CT,48
Oklahoma City OK,48
Sherman TX-Ada OK,48
Charleston SC,48
Gainesville FL,48
Santa Barbara-Santa Maria-San Luis Obispo CA,47
San Angelo TX,47
Laredo TX,47
Wichita Falls TX & Lawton OK,47
St. Louis MO,47
Tucson (Sierra Vista) AZ,47
Harlingen-Weslaco-Brownsville-McAllen TX,46
Chicago IL,46
San Antonio TX,46
Philadelphia PA,45
Panama City FL,45
Nashville TN,45
Knoxville TN,45
Little Rock-Pine Bluff AR,45
Detroit MI,45
Columbus OH,45
Dothan AL,45
Tyler-Longview(Lufkin & Nacogdoches) TX,44
Waco-Temple-Bryan TX,44
Norfolk-Portsmouth-Newport News VA,44
Palm Springs CA,44
Medford-Klamath Falls OR,44
Meridian MS,44
Rochester NY,44
Alexandria LA,44
Abilene-Sweetwater TX,44
Yakima-Pasco-Richland-Kennewick WA,44
Huntsville-Decatur (Florence) AL,44
Jackson TN,44
Seattle-Tacoma WA,44
Richmond-Petersburg VA,43
Greensboro-High Point-Winston Salem NC,43
Columbus-Tupelo-West Point MS,43
Phoenix AZ,43
New Orleans LA,43
Tampa-St. Petersburg (Sarasota) FL,42
Albuquerque-Santa Fe NM,42
Anchorage AK,42
Lafayette LA,42
Orlando-Daytona Beach-Melbourne FL,41
Jacksonville FL,41
Omaha NE,41
Honolulu HI,40
Raleigh-Durham (Fayetteville) NC,40
San Francisco-Oakland-San Jose CA,40
West Palm Beach-Ft. Pierce FL,40
Fresno-Visalia CA,40
Birmingham AL,40
Ft. Myers-Naples FL,40
Florence-Myrtle Beach SC,40
Shreveport LA,40
Bakersfield CA,39
Fairbanks AK,39
Austin TX,39
Savannah GA,39
San Diego CA,39
Houston TX,39
Charlotte NC,39
El Paso TX,39
Dallas-Ft. Worth TX,38
Columbia SC,38
Washington DC (Hagerstown MD),38
Macon GA,38
New York NY,38
Los Angeles CA,38
Monroe LA-El Dorado AR,38
Sacramento-Stockton-Modesto CA,37
Odessa-Midland TX,37
Hattiesburg-Laurel MS,37
Casper-Riverton WY,37
Baton Rouge LA,37
Beaumont-Port Arthur TX,36
Columbus GA,36
Las Vegas NV,36
Tallahassee FL-Thomasville GA,36
Mobile AL-Pensacola (Ft. Walton Beach) FL,36
Atlanta GA,35
Monterey-Salinas CA,34
Jackson MS,34
Yuma AZ-El Centro CA,33
Montgomery (Selma) AL,33
Baltimore MD,33
Augusta GA,32
Memphis TN,31
Albany GA,30
Cheyenne WY-Scottsbluff NE,29
Miami-Ft. Lauderdale FL,28
Portland OR,22
Greenwood-Greenville MS,19
Glendive MT,0
Alpena MI,0
North Platte NE,0
Juneau AK,0
