DMA,Taylor Swift
West Palm Beach-Ft. Pierce FL,26
Yuma AZ-El Centro CA,25
El Paso TX,25
Baltimore MD,25
Gainesville FL,25
San Angelo TX,24
Meridian MS,24
Montgomery (Selma) AL,24
Houston TX,24
Columbia SC,24
Las Vegas NV,23
Tallahassee FL-Thomasville GA,23
New York NY,23
Anchorage AK,23
Palm Springs CA,22
Augusta GA,22
Atlanta GA,22
Memphis TN,22
Washington DC (Hagerstown MD),21
Miami-Ft. Lauderdale FL,20
Los Angeles CA,20
Omaha NE,16
Portland OR,16
Albany GA,15
Alpena MI,0
Greenwood-Greenville MS,0
Glendive MT,0
Fairbanks AK,0
Juneau AK,0
Helena MT,0
Presque Isle ME,0
Victoria TX,0
Zanesville OH,0
