DMA,Taylor Swift
North Platte NE,100
Jonesboro AR,63
Parkersburg WV,61
Charlottesville VA,60
Johnstown-Altoona PA,54
Watertown NY,53
Quincy IL-Hannibal MO-Keokuk IA,53
La Crosse-Eau Claire WI,52
Terre Haute IN,52
St. Joseph MO,51
Bluefield-Beckley-Oak Hill WV,51
Bangor ME,50
Idaho Falls-Pocatello ID,50
Clarksburg-Weston WV,50
Topeka KS,50
Wausau-Rhinelander WI,50
Des Moines-Ames IA,49
Elmira NY,49
Traverse City-Cadillac MI,49
Green Bay-Appleton WI,48
Sioux City IA,48
Cincinnati OH,48
Duluth MN-Superior WI,47
Evansville IN,47
Columbia-Jefferson City MO,47
Lexington KY,46
Joplin MO-Pittsburg KS,46
Charleston-Huntington WV,46
Burlington VT-Plattsburgh NY,46
Albany-Schenectady-Troy NY,46
Marquette MI,46
Bend OR,45
Madison WI,45
Toledo OH,45
Peoria-Bloomington IL,44
Fargo-Valley City ND,44
Wilmington NC,44
Springfield MO,44
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,44
Wheeling WV-Steubenville OH,43
Kansas City MO,43
Mankato MN,42
Pittsburgh PA,42
Knoxville TN,42
Minot-Bismarck-Dickinson(Williston) ND,42
Syracuse NY,41
Davenport IA-Rock Island-Moline IL,41
Grand Junction-Montrose CO,41
Wilkes Barre-Scranton PA,41
"Billings, MT",41
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,41
Indianapolis IN,40
Champaign & Springfield-Decatur IL,40
Corpus Christi TX,40
Chattanooga TN,40
Great Falls MT,40
Lansing MI,40
Portland-Auburn ME,40
Sioux Falls(Mitchell) SD,40
Binghamton NY,39
Ft. Wayne IN,39
Tri-Cities TN-VA,39
Lincoln & Hastings-Kearney NE,39
Erie PA,39
Colorado Springs-Pueblo CO,38
Cleveland-Akron (Canton) OH,38
Louisville KY,38
Harrisonburg VA,38
Harrisburg-Lancaster-Lebanon-York PA,38
Grand Rapids-Kalamazoo-Battle Creek MI,38
Butte-Bozeman MT,38
Abilene-Sweetwater TX,38
South Bend-Elkhart IN,38
Salt Lake City UT,37
Cheyenne WY-Scottsbluff NE,37
Sherman TX-Ada OK,37
Flint-Saginaw-Bay City MI,37
Eureka CA,36
St. Louis MO,36
Buffalo NY,36
Ft. Smith-Fayetteville-Springdale-Rogers AR,36
Lafayette IN,36
Ottumwa IA-Kirksville MO,36
Utica NY,36
Lubbock TX,36
Minneapolis-St. Paul MN,36
Wichita Falls TX & Lawton OK,35
Springfield-Holyoke MA,35
Medford-Klamath Falls OR,35
Lafayette LA,35
Boise ID,35
Wichita-Hutchinson KS,35
Dayton OH,35
Amarillo TX,35
Providence RI-New Bedford MA,35
Greenville-New Bern-Washington NC,34
Charleston SC,34
Columbus OH,34
Milwaukee WI,34
Rochester NY,34
Tulsa OK,34
Rapid City SD,34
Oklahoma City OK,34
Roanoke-Lynchburg VA,34
Greenville-Spartanburg SC-Asheville NC-Anderson SC,33
Chico-Redding CA,33
Rochester MN-Mason City IA-Austin MN,33
Waco-Temple-Bryan TX,33
Santa Barbara-Santa Maria-San Luis Obispo CA,33
Lake Charles LA,33
Alexandria LA,33
Laredo TX,33
Lima OH,33
Tyler-Longview(Lufkin & Nacogdoches) TX,32
Denver CO,32
Bakersfield CA,32
Baton Rouge LA,32
Casper-Riverton WY,32
Youngstown OH,32
Yakima-Pasco-Richland-Kennewick WA,32
Panama City FL,32
San Antonio TX,32
Jackson TN,32
New Orleans LA,32
Nashville TN,32
Hartford & New Haven CT,32
Eugene OR,32
Bowling Green KY,32
Boston MA-Manchester NH,32
Columbus-Tupelo-West Point MS,32
Missoula MT,31
Little Rock-Pine Bluff AR,31
Richmond-Petersburg VA,31
Chicago IL,31
Spokane WA,31
Tucson (Sierra Vista) AZ,31
Monterey-Salinas CA,30
Reno NV,30
Birmingham AL,30
Harlingen-Weslaco-Brownsville-McAllen TX,30
Detroit MI,30
Albuquerque-Santa Fe NM,30
Austin TX,29
Greensboro-High Point-Winston Salem NC,29
Dothan AL,29
Savannah GA,29
Raleigh-Durham (Fayetteville) NC,29
San Francisco-Oakland-San Jose CA,29
Mobile AL-Pensacola (Ft. Walton Beach) FL,29
Charlotte NC,28
Fresno-Visalia CA,28
Florence-Myrtle Beach SC,28
Ft. Myers-Naples FL,28
Jacksonville FL,28
Tampa-St. Petersburg (Sarasota) FL,28
Twin Falls ID,28
Norfolk-Portsmouth-Newport News VA,28
Monroe LA-El Dorado AR,28
Honolulu HI,28
Salisbury MD,28
Philadelphia PA,28
Shreveport LA,28
Hattiesburg-Laurel MS,27
Huntsville-Decatur (Florence) AL,27
San Diego CA,27
Odessa-Midland TX,27
Jackson MS,27
Dallas-Ft. Worth TX,27
Biloxi-Gulfport MS,27
Rockford IL,26
Macon GA,26
Orlando-Daytona Beach-Melbourne FL,26
Sacramento-Stockton-Modesto CA,26
Seattle-Tacoma WA,26
Columbus GA,26
Beaumont-Port Arthur TX,26
Phoenix AZ,26
