DMA,Taylor Swift
St. Joseph MO,100
Presque Isle ME,95
Alpena MI,83
Quincy IL-Hannibal MO-Keokuk IA,83
North Platte NE,81
La Crosse-Eau Claire WI,75
Columbia-Jefferson City MO,75
Burlington VT-Plattsburgh NY,69
Terre Haute IN,69
Johnstown-Altoona PA,69
Ottumwa IA-Kirksville MO,68
Butte-Bozeman MT,66
Davenport IA-Rock Island-Moline IL,66
Duluth MN-Superior WI,66
Juneau AK,66
Green Bay-Appleton WI,65
Peoria-Bloomington IL,65
Joplin MO-Pittsburg KS,65
Toledo OH,64
Charlottesville VA,64
Idaho Falls-Pocatello ID,63
Wausau-Rhinelander WI,62
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,62
Zanesville OH,62
Bluefield-Beckley-Oak Hill WV,62
Fargo-Valley City ND,62
Watertown NY,61
Topeka KS,61
Springfield MO,61
Evansville IN,60
Missoula MT,60
Mankato MN,60
Marquette MI,60
Sioux Falls(Mitchell) SD,59
Minot-Bismarck-Dickinson(Williston) ND,59
Wilmington NC,59
Des Moines-Ames IA,59
Bangor ME,59
Madison WI,59
Binghamton NY,58
Ft. Smith-Fayetteville-Springdale-Rogers AR,58
Buffalo NY,58
Elmira NY,58
Rochester MN-Mason City IA-Austin MN,57
Kansas City MO,57
Pittsburgh PA,57
Wilkes Barre-Scranton PA,57
Parkersburg WV,57
Grand Rapids-Kalamazoo-Battle Creek MI,56
Bend OR,56
Syracuse NY,56
Sioux City IA,56
Ft. Wayne IN,55
Champaign & Springfield-Decatur IL,55
Erie PA,55
Cincinnati OH,55
Albany-Schenectady-Troy NY,55
Lexington KY,55
Jonesboro AR,55
Traverse City-Cadillac MI,55
Helena MT,55
Portland-Auburn ME,55
Biloxi-Gulfport MS,54
Lansing MI,54
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,54
Charleston-Huntington WV,54
Lima OH,54
Jackson TN,53
Wheeling WV-Steubenville OH,52
Dayton OH,52
Rochester NY,52
Rapid City SD,52
Youngstown OH,52
Lubbock TX,52
Indianapolis IN,51
Providence RI-New Bedford MA,51
Boise ID,51
Flint-Saginaw-Bay City MI,51
Louisville KY,51
Casper-Riverton WY,50
Rockford IL,50
Boston MA-Manchester NH,50
Santa Barbara-Santa Maria-San Luis Obispo CA,50
Corpus Christi TX,49
"Billings, MT",49
Harrisburg-Lancaster-Lebanon-York PA,49
Utica NY,49
South Bend-Elkhart IN,49
Colorado Springs-Pueblo CO,49
Roanoke-Lynchburg VA,48
Twin Falls ID,48
San Angelo TX,48
Lincoln & Hastings-Kearney NE,48
Knoxville TN,48
Springfield-Holyoke MA,48
Charleston SC,48
Abilene-Sweetwater TX,48
St. Louis MO,48
Cleveland-Akron (Canton) OH,47
Minneapolis-St. Paul MN,47
Lake Charles LA,47
Chico-Redding CA,47
New Orleans LA,46
Victoria TX,46
Tulsa OK,46
Laredo TX,46
Clarksburg-Weston WV,46
Sherman TX-Ada OK,45
Lafayette IN,45
Milwaukee WI,44
Hartford & New Haven CT,44
Reno NV,44
Spokane WA,44
Seattle-Tacoma WA,44
Eugene OR,44
Chattanooga TN,44
Palm Springs CA,44
Greenville-New Bern-Washington NC,44
Amarillo TX,44
Fairbanks AK,43
Richmond-Petersburg VA,43
Harrisonburg VA,43
Medford-Klamath Falls OR,43
Yakima-Pasco-Richland-Kennewick WA,43
Philadelphia PA,42
Bowling Green KY,42
Greenville-Spartanburg SC-Asheville NC-Anderson SC,42
Lafayette LA,42
Salt Lake City UT,42
Tri-Cities TN-VA,42
Grand Junction-Montrose CO,41
Beaumont-Port Arthur TX,41
Chicago IL,41
Nashville TN,41
Salisbury MD,41
San Antonio TX,41
Huntsville-Decatur (Florence) AL,41
Harlingen-Weslaco-Brownsville-McAllen TX,41
Cheyenne WY-Scottsbluff NE,41
Little Rock-Pine Bluff AR,40
Wichita Falls TX & Lawton OK,40
Oklahoma City OK,40
Alexandria LA,40
Eureka CA,40
Gainesville FL,39
Albuquerque-Santa Fe NM,39
Denver CO,39
Columbus OH,39
Wichita-Hutchinson KS,39
Tucson (Sierra Vista) AZ,39
Norfolk-Portsmouth-Newport News VA,38
Florence-Myrtle Beach SC,38
Columbus-Tupelo-West Point MS,38
Birmingham AL,38
Tyler-Longview(Lufkin & Nacogdoches) TX,38
West Palm Beach-Ft. Pierce FL,38
Panama City FL,38
Mobile AL-Pensacola (Ft. Walton Beach) FL,37
Dallas-Ft. Worth TX,37
Jacksonville FL,37
Monterey-Salinas CA,37
Ft. Myers-Naples FL,37
Detroit MI,37
Baton Rouge LA,36
Anchorage AK,36
Greensboro-High Point-Winston Salem NC,36
San Diego CA,35
Raleigh-Durham (Fayetteville) NC,35
Orlando-Daytona Beach-Melbourne FL,35
Waco-Temple-Bryan TX,35
Bakersfield CA,35
Dothan AL,35
Tallahassee FL-Thomasville GA,34
Austin TX,34
El Paso TX,34
Savannah GA,34
Sacramento-Stockton-Modesto CA,34
Columbia SC,33
Columbus GA,33
Charlotte NC,33
Shreveport LA,33
Tampa-St. Petersburg (Sarasota) FL,33
New York NY,33
Omaha NE,33
Honolulu HI,33
San Francisco-Oakland-San Jose CA,33
Yuma AZ-El Centro CA,32
Houston TX,32
Jackson MS,32
Hattiesburg-Laurel MS,31
Phoenix AZ,31
Fresno-Visalia CA,31
Baltimore MD,31
Atlanta GA,30
Memphis TN,30
Las Vegas NV,30
Odessa-Midland TX,30
Augusta GA,28
Meridian MS,27
Macon GA,27
Great Falls MT,27
Albany GA,27
Monroe LA-El Dorado AR,27
Los Angeles CA,26
Montgomery (Selma) AL,26
Miami-Ft. Lauderdale FL,24
Portland OR,18
Washington DC (Hagerstown MD),15
Greenwood-Greenville MS,0
Glendive MT,0
