DMA,Taylor Swift
Marquette MI,100
St. Joseph MO,94
Johnstown-Altoona PA,91
La Crosse-Eau Claire WI,90
Eureka CA,87
Topeka KS,86
Traverse City-Cadillac MI,86
Watertown NY,85
Presque Isle ME,84
Rochester MN-Mason City IA-Austin MN,84
Zanesville OH,84
Des Moines-Ames IA,84
Davenport IA-Rock Island-Moline IL,83
Helena MT,83
Mankato MN,82
Sioux City IA,81
Parkersburg WV,81
Joplin MO-Pittsburg KS,80
Terre Haute IN,79
Elmira NY,79
Evansville IN,79
Butte-Bozeman MT,78
Albany-Schenectady-Troy NY,77
Green Bay-Appleton WI,77
Sioux Falls(Mitchell) SD,77
Wichita-Hutchinson KS,77
Peoria-Bloomington IL,77
Minot-Bismarck-Dickinson(Williston) ND,76
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,76
Springfield MO,76
Columbia-Jefferson City MO,75
Kansas City MO,74
Wausau-Rhinelander WI,73
Lafayette IN,73
Charleston-Huntington WV,73
Charlottesville VA,73
Fargo-Valley City ND,72
Cincinnati OH,72
Lexington KY,72
Toledo OH,72
Rapid City SD,71
Portland-Auburn ME,71
Bend OR,71
Madison WI,71
Duluth MN-Superior WI,70
Burlington VT-Plattsburgh NY,70
Clarksburg-Weston WV,70
Buffalo NY,69
Abilene-Sweetwater TX,69
Bangor ME,69
Wheeling WV-Steubenville OH,69
Lincoln & Hastings-Kearney NE,69
Panama City FL,69
Youngstown OH,69
Pittsburgh PA,69
"Billings, MT",68
Erie PA,68
Bluefield-Beckley-Oak Hill WV,68
Amarillo TX,68
Quincy IL-Hannibal MO-Keokuk IA,68
Corpus Christi TX,68
Ft. Wayne IN,68
South Bend-Elkhart IN,68
Grand Rapids-Kalamazoo-Battle Creek MI,67
Bowling Green KY,67
Minneapolis-St. Paul MN,67
Jonesboro AR,67
Santa Barbara-Santa Maria-San Luis Obispo CA,67
Omaha NE,67
Wilmington NC,67
Providence RI-New Bedford MA,67
Missoula MT,66
Lansing MI,66
Dayton OH,66
Boise ID,66
Eugene OR,66
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,65
Idaho Falls-Pocatello ID,65
Flint-Saginaw-Bay City MI,65
Rockford IL,65
Casper-Riverton WY,65
Binghamton NY,64
Tri-Cities TN-VA,64
Utica NY,64
Indianapolis IN,64
Wilkes Barre-Scranton PA,64
Harrisburg-Lancaster-Lebanon-York PA,63
Knoxville TN,63
Cleveland-Akron (Canton) OH,63
Ottumwa IA-Kirksville MO,63
Louisville KY,62
Champaign & Springfield-Decatur IL,62
