DMA,Taylor Swift
Twin Falls ID,62
Great Falls MT,62
Boston MA-Manchester NH,62
Roanoke-Lynchburg VA,62
Oklahoma City OK,61
Milwaukee WI,60
Lima OH,60
Denver CO,59
Ft. Smith-Fayetteville-Springdale-Rogers AR,59
Greenville-New Bern-Washington NC,59
Medford-Klamath Falls OR,59
Syracuse NY,59
Chicago IL,59
Charleston SC,59
Sherman TX-Ada OK,58
Salisbury MD,58
Salt Lake City UT,58
Nashville TN,58
Detroit MI,58
Grand Junction-Montrose CO,58
Rochester NY,58
Tucson (Sierra Vista) AZ,57
Hartford & New Haven CT,57
Biloxi-Gulfport MS,57
Chico-Redding CA,56
Laredo TX,56
Juneau AK,56
Chattanooga TN,55
Colorado Springs-Pueblo CO,55
Tulsa OK,55
Wichita Falls TX & Lawton OK,55
Lubbock TX,54
Yakima-Pasco-Richland-Kennewick WA,54
Lafayette LA,54
Columbus OH,54
Greenville-Spartanburg SC-Asheville NC-Anderson SC,54
Huntsville-Decatur (Florence) AL,53
Philadelphia PA,53
Norfolk-Portsmouth-Newport News VA,52
Lake Charles LA,52
St. Louis MO,52
Richmond-Petersburg VA,52
Anchorage AK,52
Columbus-Tupelo-West Point MS,52
Spokane WA,52
Reno NV,51
Springfield-Holyoke MA,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,51
Little Rock-Pine Bluff AR,51
Harlingen-Weslaco-Brownsville-McAllen TX,51
Hattiesburg-Laurel MS,50
Tampa-St. Petersburg (Sarasota) FL,50
San Antonio TX,50
Jackson TN,50
Tyler-Longview(Lufkin & Nacogdoches) TX,50
Dallas-Ft. Worth TX,49
Birmingham AL,49
Fairbanks AK,49
Savannah GA,49
Seattle-Tacoma WA,49
New Orleans LA,49
Baton Rouge LA,49
Jacksonville FL,48
Harrisonburg VA,48
Waco-Temple-Bryan TX,48
Phoenix AZ,48
Sacramento-Stockton-Modesto CA,48
New York NY,48
Monterey-Salinas CA,48
Orlando-Daytona Beach-Melbourne FL,48
Columbia SC,48
Florence-Myrtle Beach SC,48
Albuquerque-Santa Fe NM,48
San Angelo TX,47
Odessa-Midland TX,47
Dothan AL,46
Gainesville FL,46
Austin TX,46
San Diego CA,46
Raleigh-Durham (Fayetteville) NC,46
Charlotte NC,45
Yuma AZ-El Centro CA,45
Palm Springs CA,45
Victoria TX,45
Ft. Myers-Naples FL,45
Fresno-Visalia CA,44
West Palm Beach-Ft. Pierce FL,44
Augusta GA,44
Houston TX,44
Cheyenne WY-Scottsbluff NE,43
Washington DC (Hagerstown MD),42
Honolulu HI,42
Los Angeles CA,42
Tallahassee FL-Thomasville GA,42
El Paso TX,42
Beaumont-Port Arthur TX,42
Greensboro-High Point-Winston Salem NC,42
Bakersfield CA,41
Jackson MS,41
Monroe LA-El Dorado AR,41
Columbus GA,41
Atlanta GA,40
Macon GA,40
Shreveport LA,40
San Francisco-Oakland-San Jose CA,38
Montgomery (Selma) AL,38
Albany GA,38
Baltimore MD,37
Las Vegas NV,37
Alexandria LA,36
Meridian MS,35
Memphis TN,32
Miami-Ft. Lauderdale FL,31
Portland OR,26
Greenwood-Greenville MS,21
Alpena MI,0
Glendive MT,0
North Platte NE,0
