DMA,Zach Bryan
Bluefield-Beckley-Oak Hill WV,100
Great Falls MT,93
Butte-Bozeman MT,86
Casper-Riverton WY,86
Wheeling WV-Steubenville OH,83
Joplin MO-Pittsburg KS,82
Minot-Bismarck-Dickinson(Williston) ND,81
Lexington KY,79
Charleston-Huntington WV,78
Des Moines-Ames IA,77
Parkersburg WV,77
"Billings, MT",75
Sioux Falls(Mitchell) SD,74
Oklahoma City OK,73
Marquette MI,72
Quincy IL-Hannibal MO-Keokuk IA,71
St. Joseph MO,71
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,70
Johnstown-Altoona PA,69
Fargo-Valley City ND,67
Missoula MT,66
Clarksburg-Weston WV,65
Bend OR,65
Ft. Smith-Fayetteville-Springdale-Rogers AR,64
Idaho Falls-Pocatello ID,63
Watertown NY,62
Tulsa OK,62
Albany-Schenectady-Troy NY,61
Duluth MN-Superior WI,61
Little Rock-Pine Bluff AR,60
Traverse City-Cadillac MI,60
Elmira NY,59
Cincinnati OH,59
Wichita Falls TX & Lawton OK,58
Knoxville TN,58
Lima OH,58
Pittsburgh PA,57
Terre Haute IN,57
Rapid City SD,57
Indianapolis IN,55
Nashville TN,55
Zanesville OH,55
Bowling Green KY,54
Amarillo TX,54
Eugene OR,54
Green Bay-Appleton WI,54
Sherman TX-Ada OK,53
Panama City FL,53
Evansville IN,52
Alexandria LA,52
Springfield MO,52
La Crosse-Eau Claire WI,51
Syracuse NY,50
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,50
Roanoke-Lynchburg VA,50
Fairbanks AK,49
Minneapolis-St. Paul MN,49
Cheyenne WY-Scottsbluff NE,49
Tri-Cities TN-VA,49
Burlington VT-Plattsburgh NY,47
Birmingham AL,47
Louisville KY,47
Lake Charles LA,47
Chattanooga TN,47
Kansas City MO,46
Flint-Saginaw-Bay City MI,46
Wausau-Rhinelander WI,46
St. Louis MO,45
Bangor ME,45
Greenville-New Bern-Washington NC,45
Boise ID,44
Ft. Wayne IN,44
New Orleans LA,44
Portland-Auburn ME,44
Grand Rapids-Kalamazoo-Battle Creek MI,44
Juneau AK,43
Cleveland-Akron (Canton) OH,43
Abilene-Sweetwater TX,43
Odessa-Midland TX,43
Corpus Christi TX,42
Albuquerque-Santa Fe NM,42
Medford-Klamath Falls OR,42
Lincoln & Hastings-Kearney NE,42
Toledo OH,42
Wilmington NC,42
Wilkes Barre-Scranton PA,42
Jackson TN,41
Twin Falls ID,41
Huntsville-Decatur (Florence) AL,41
Lubbock TX,41
Buffalo NY,41
Biloxi-Gulfport MS,41
Dayton OH,40
Eureka CA,40
Binghamton NY,40
Jonesboro AR,40
Davenport IA-Rock Island-Moline IL,39
Denver CO,39
Detroit MI,38
Greenville-Spartanburg SC-Asheville NC-Anderson SC,38
South Bend-Elkhart IN,38
Sioux City IA,38
Monroe LA-El Dorado AR,37
Columbus OH,37
Beaumont-Port Arthur TX,37
Grand Junction-Montrose CO,37
Reno NV,37
Raleigh-Durham (Fayetteville) NC,37
Omaha NE,37
Shreveport LA,37
Jackson MS,37
Tyler-Longview(Lufkin & Nacogdoches) TX,36
Gainesville FL,36
Dothan AL,36
Anchorage AK,36
Lafayette IN,36
Peoria-Bloomington IL,36
Topeka KS,35
Lafayette LA,35
Yakima-Pasco-Richland-Kennewick WA,35
Utica NY,35
Harrisburg-Lancaster-Lebanon-York PA,35
Youngstown OH,35
Florence-Myrtle Beach SC,34
Austin TX,34
Mobile AL-Pensacola (Ft. Walton Beach) FL,34
Wichita-Hutchinson KS,33
Chico-Redding CA,33
Greensboro-High Point-Winston Salem NC,33
Lansing MI,32
Champaign & Springfield-Decatur IL,32
Charleston SC,32
Madison WI,32
Savannah GA,32
Rochester MN-Mason City IA-Austin MN,32
Columbia-Jefferson City MO,31
Erie PA,31
Boston MA-Manchester NH,31
Salt Lake City UT,31
San Antonio TX,31
Mankato MN,31
Hartford & New Haven CT,30
Colorado Springs-Pueblo CO,30
Norfolk-Portsmouth-Newport News VA,30
Philadelphia PA,30
Chicago IL,29
Spokane WA,29
Rochester NY,29
Charlotte NC,29
Santa Barbara-Santa Maria-San Luis Obispo CA,29
Phoenix AZ,29
Hattiesburg-Laurel MS,28
Rockford IL,27
Atlanta GA,27
Jacksonville FL,27
Providence RI-New Bedford MA,26
Milwaukee WI,26
Meridian MS,26
Waco-Temple-Bryan TX,24
Tallahassee FL-Thomasville GA,24
Tucson (Sierra Vista) AZ,24
Fresno-Visalia CA,24
Columbia SC,24
Springfield-Holyoke MA,24
Tampa-St. Petersburg (Sarasota) FL,24
Harrisonburg VA,23
