DMA,Zach Bryan
Seattle-Tacoma WA,23
Orlando-Daytona Beach-Melbourne FL,23
Bakersfield CA,23
Sacramento-Stockton-Modesto CA,23
Dallas-Ft. Worth TX,23
Columbus-Tupelo-West Point MS,23
Augusta GA,23
Harlingen-Weslaco-Brownsville-McAllen TX,22
Houston TX,22
Albany GA,22
Montgomery (Selma) AL,22
Columbus GA,21
Macon GA,21
San Angelo TX,21
San Diego CA,21
Monterey-Salinas CA,21
Las Vegas NV,20
Memphis TN,20
El Paso TX,20
Baltimore MD,19
San Francisco-Oakland-San Jose CA,19
Baton Rouge LA,19
Ft. Myers-Naples FL,18
Honolulu HI,18
Washington DC (Hagerstown MD),17
West Palm Beach-Ft. Pierce FL,17
Richmond-Petersburg VA,17
New York NY,17
Palm Springs CA,16
Salisbury MD,16
Portland OR,14
Los Angeles CA,13
Miami-Ft. Lauderdale FL,12
Yuma AZ-El Centro CA,9
Charlottesville VA,0
Alpena MI,0
Greenwood-Greenville MS,0
Glendive MT,0
Helena MT,0
Laredo TX,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Presque Isle ME,0
Victoria TX,0
