DMA,Zach Bryan
Chico-Redding CA,31
Charlotte NC,31
Spokane WA,31
Milwaukee WI,30
San Antonio TX,30
Eureka CA,30
Hartford & New Haven CT,30
Chicago IL,29
Dothan AL,29
Montgomery (Selma) AL,29
Greensboro-High Point-Winston Salem NC,29
Dallas-Ft. Worth TX,29
Shreveport LA,28
Norfolk-Portsmouth-Newport News VA,28
Austin TX,27
Colorado Springs-Pueblo CO,27
Utica NY,27
Salt Lake City UT,27
Rockford IL,27
Rochester NY,27
Reno NV,26
Orlando-Daytona Beach-Melbourne FL,26
Jacksonville FL,26
Greenwood-Greenville MS,26
Columbus GA,25
Memphis TN,25
Gainesville FL,25
Philadelphia PA,25
Waco-Temple-Bryan TX,24
Columbia SC,24
Springfield-Holyoke MA,24
Macon GA,24
Atlanta GA,24
Yakima-Pasco-Richland-Kennewick WA,23
San Angelo TX,23
Anchorage AK,23
Providence RI-New Bedford MA,23
Tampa-St. Petersburg (Sarasota) FL,22
Phoenix AZ,22
Sacramento-Stockton-Modesto CA,21
Houston TX,20
Santa Barbara-Santa Maria-San Luis Obispo CA,19
Seattle-Tacoma WA,19
Augusta GA,18
Fresno-Visalia CA,18
Tucson (Sierra Vista) AZ,18
El Paso TX,18
Ft. Myers-Naples FL,18
Harlingen-Weslaco-Brownsville-McAllen TX,18
San Diego CA,18
West Palm Beach-Ft. Pierce FL,18
Tallahassee FL-Thomasville GA,18
Richmond-Petersburg VA,17
Bakersfield CA,17
New York NY,15
Baltimore MD,15
Honolulu HI,14
Las Vegas NV,14
Washington DC (Hagerstown MD),14
Laredo TX,12
Miami-Ft. Lauderdale FL,12
San Francisco-Oakland-San Jose CA,11
Monterey-Salinas CA,11
Los Angeles CA,10
Yuma AZ-El Centro CA,10
Portland OR,9
Palm Springs CA,9
Alpena MI,0
Fairbanks AK,0
Glendive MT,0
Juneau AK,0
North Platte NE,0
Presque Isle ME,0
