DMA,Zach Bryan
Helena MT,100
Great Falls MT,90
Charleston-Huntington WV,88
Des Moines-Ames IA,86
Zanesville OH,86
Johnstown-Altoona PA,83
Watertown NY,79
Marquette MI,77
Clarksburg-Weston WV,75
Parkersburg WV,72
Sioux Falls(Mitchell) SD,70
Bluefield-Beckley-Oak Hill WV,68
Lexington KY,67
Cincinnati OH,67
Omaha NE,67
Rapid City SD,66
Wheeling WV-Steubenville OH,66
Tri-Cities TN-VA,64
Rochester MN-Mason City IA-Austin MN,63
New Orleans LA,63
Terre Haute IN,63
Oklahoma City OK,62
"Billings, MT",62
Fargo-Valley City ND,62
Quincy IL-Hannibal MO-Keokuk IA,62
Minot-Bismarck-Dickinson(Williston) ND,62
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61
Knoxville TN,61
Burlington VT-Plattsburgh NY,61
Duluth MN-Superior WI,61
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,61
Traverse City-Cadillac MI,60
Jonesboro AR,60
St. Joseph MO,59
Springfield MO,59
Evansville IN,58
Sioux City IA,58
Binghamton NY,56
Joplin MO-Pittsburg KS,56
Pittsburgh PA,56
Bangor ME,56
Nashville TN,55
Cheyenne WY-Scottsbluff NE,54
Birmingham AL,54
Sherman TX-Ada OK,54
Tulsa OK,54
Bowling Green KY,54
Little Rock-Pine Bluff AR,53
Greenville-New Bern-Washington NC,53
Albany-Schenectady-Troy NY,52
Louisville KY,52
Missoula MT,52
Victoria TX,52
Indianapolis IN,51
Ottumwa IA-Kirksville MO,50
Charleston SC,50
Biloxi-Gulfport MS,50
Flint-Saginaw-Bay City MI,50
Columbia-Jefferson City MO,49
Butte-Bozeman MT,49
Jackson TN,49
La Crosse-Eau Claire WI,49
Davenport IA-Rock Island-Moline IL,49
Portland-Auburn ME,48
Lincoln & Hastings-Kearney NE,48
Ft. Smith-Fayetteville-Springdale-Rogers AR,48
Abilene-Sweetwater TX,47
Lubbock TX,47
Odessa-Midland TX,47
Lafayette LA,47
Jackson MS,46
Chattanooga TN,46
Roanoke-Lynchburg VA,45
Youngstown OH,45
Wilmington NC,45
Wichita Falls TX & Lawton OK,45
Columbus-Tupelo-West Point MS,45
Casper-Riverton WY,44
Grand Rapids-Kalamazoo-Battle Creek MI,44
Champaign & Springfield-Decatur IL,44
Cleveland-Akron (Canton) OH,44
Harrisonburg VA,44
Bend OR,43
Toledo OH,43
Lake Charles LA,43
Medford-Klamath Falls OR,43
Buffalo NY,43
Corpus Christi TX,43
Minneapolis-St. Paul MN,42
Lafayette IN,42
Columbus OH,42
Alexandria LA,42
Wichita-Hutchinson KS,41
Kansas City MO,41
Huntsville-Decatur (Florence) AL,40
Lima OH,40
Wausau-Rhinelander WI,40
Green Bay-Appleton WI,40
Twin Falls ID,40
Wilkes Barre-Scranton PA,39
Eugene OR,39
Greenville-Spartanburg SC-Asheville NC-Anderson SC,38
Erie PA,38
Mobile AL-Pensacola (Ft. Walton Beach) FL,38
Albany GA,37
Denver CO,37
Raleigh-Durham (Fayetteville) NC,37
St. Louis MO,37
Salisbury MD,37
Peoria-Bloomington IL,37
Amarillo TX,37
Baton Rouge LA,36
Lansing MI,36
Panama City FL,36
Dayton OH,36
Detroit MI,35
Ft. Wayne IN,35
Grand Junction-Montrose CO,35
Topeka KS,35
Idaho Falls-Pocatello ID,35
Meridian MS,34
Harrisburg-Lancaster-Lebanon-York PA,33
Hattiesburg-Laurel MS,33
Syracuse NY,33
Boston MA-Manchester NH,33
Elmira NY,33
Florence-Myrtle Beach SC,33
Boise ID,33
Albuquerque-Santa Fe NM,33
Savannah GA,32
South Bend-Elkhart IN,32
Beaumont-Port Arthur TX,32
Charlottesville VA,32
Tyler-Longview(Lufkin & Nacogdoches) TX,32
Madison WI,32
Mankato MN,31
Monroe LA-El Dorado AR,31
