DMA,Zach Bryan
Great Falls MT,100
Zanesville OH,93
Minot-Bismarck-Dickinson(Williston) ND,88
Clarksburg-Weston WV,78
Fargo-Valley City ND,77
Joplin MO-Pittsburg KS,75
Johnstown-Altoona PA,72
Des Moines-Ames IA,69
Rapid City SD,68
Abilene-Sweetwater TX,65
Terre Haute IN,65
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,65
Lima OH,63
Butte-Bozeman MT,63
Lexington KY,63
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,62
Wichita Falls TX & Lawton OK,62
Bluefield-Beckley-Oak Hill WV,62
Oklahoma City OK,62
Sioux Falls(Mitchell) SD,61
Jonesboro AR,60
Springfield MO,60
Charleston-Huntington WV,60
Casper-Riverton WY,60
Cincinnati OH,59
Sherman TX-Ada OK,59
Quincy IL-Hannibal MO-Keokuk IA,57
Grand Junction-Montrose CO,57
Duluth MN-Superior WI,55
Columbia-Jefferson City MO,55
Louisville KY,55
Albany-Schenectady-Troy NY,54
Marquette MI,54
Wheeling WV-Steubenville OH,54
Tri-Cities TN-VA,53
Bowling Green KY,53
Missoula MT,52
Lafayette LA,52
Rochester MN-Mason City IA-Austin MN,51
St. Joseph MO,51
"Billings, MT",51
Sioux City IA,51
Evansville IN,51
Tulsa OK,50
Watertown NY,49
Knoxville TN,49
Burlington VT-Plattsburgh NY,48
Indianapolis IN,48
Little Rock-Pine Bluff AR,48
Traverse City-Cadillac MI,48
Minneapolis-St. Paul MN,47
Cheyenne WY-Scottsbluff NE,47
Flint-Saginaw-Bay City MI,47
Roanoke-Lynchburg VA,47
Pittsburgh PA,46
Portland-Auburn ME,45
Birmingham AL,44
Elmira NY,44
Lincoln & Hastings-Kearney NE,44
Omaha NE,43
Nashville TN,43
Topeka KS,43
Lubbock TX,42
Columbus-Tupelo-West Point MS,42
Bend OR,41
Biloxi-Gulfport MS,41
Amarillo TX,41
Bangor ME,41
Idaho Falls-Pocatello ID,41
Peoria-Bloomington IL,40
Youngstown OH,40
New Orleans LA,40
Kansas City MO,40
Hattiesburg-Laurel MS,40
Greenville-New Bern-Washington NC,40
Ft. Smith-Fayetteville-Springdale-Rogers AR,40
Green Bay-Appleton WI,40
Wausau-Rhinelander WI,39
Toledo OH,39
Chico-Redding CA,39
Charleston SC,39
La Crosse-Eau Claire WI,39
Grand Rapids-Kalamazoo-Battle Creek MI,38
Tyler-Longview(Lufkin & Nacogdoches) TX,38
Monroe LA-El Dorado AR,38
Wichita-Hutchinson KS,38
Wilkes Barre-Scranton PA,38
Utica NY,38
South Bend-Elkhart IN,38
Jackson MS,37
Columbus OH,37
Wilmington NC,36
Chattanooga TN,36
Cleveland-Akron (Canton) OH,35
Corpus Christi TX,35
Dayton OH,35
Ft. Wayne IN,34
Champaign & Springfield-Decatur IL,34
Boise ID,34
Shreveport LA,34
Rockford IL,34
Savannah GA,34
Lake Charles LA,34
Medford-Klamath Falls OR,34
Davenport IA-Rock Island-Moline IL,34
Greenville-Spartanburg SC-Asheville NC-Anderson SC,33
Raleigh-Durham (Fayetteville) NC,33
St. Louis MO,33
Huntsville-Decatur (Florence) AL,33
Syracuse NY,33
Erie PA,33
Denver CO,33
Charlotte NC,32
Buffalo NY,32
Albuquerque-Santa Fe NM,32
Beaumont-Port Arthur TX,31
Harrisonburg VA,31
Tallahassee FL-Thomasville GA,31
Harrisburg-Lancaster-Lebanon-York PA,31
Florence-Myrtle Beach SC,31
Lafayette IN,30
San Angelo TX,30
Albany GA,30
Detroit MI,30
Jackson TN,30
Odessa-Midland TX,29
Baton Rouge LA,29
Reno NV,29
San Antonio TX,29
Dothan AL,29
Colorado Springs-Pueblo CO,28
Boston MA-Manchester NH,28
Eureka CA,28
Mobile AL-Pensacola (Ft. Walton Beach) FL,28
Madison WI,28
Waco-Temple-Bryan TX,28
Salisbury MD,27
Eugene OR,27
Norfolk-Portsmouth-Newport News VA,27
Montgomery (Selma) AL,26
Milwaukee WI,26
Salt Lake City UT,26
Greensboro-High Point-Winston Salem NC,26
El Paso TX,25
Binghamton NY,25
Dallas-Ft. Worth TX,25
Macon GA,25
Austin TX,24
Charlottesville VA,24
Chicago IL,24
Philadelphia PA,24
Panama City FL,24
Springfield-Holyoke MA,24
Hartford & New Haven CT,23
Gainesville FL,23
Columbus GA,23
Columbia SC,23
Memphis TN,22
Lansing MI,22
Atlanta GA,21
Providence RI-New Bedford MA,21
Houston TX,20
Tampa-St. Petersburg (Sarasota) FL,20
Yakima-Pasco-Richland-Kennewick WA,20
Rochester NY,20
Seattle-Tacoma WA,20
Jacksonville FL,20
Spokane WA,20
Phoenix AZ,19
Richmond-Petersburg VA,19
Sacramento-Stockton-Modesto CA,18
San Diego CA,17
Bakersfield CA,17
Harlingen-Weslaco-Brownsville-McAllen TX,17
Orlando-Daytona Beach-Melbourne FL,17
Ft. Myers-Naples FL,16
Fresno-Visalia CA,16
San Francisco-Oakland-San Jose CA,16
West Palm Beach-Ft. Pierce FL,16
Tucson (Sierra Vista) AZ,16
Laredo TX,16
Santa Barbara-Santa Maria-San Luis Obispo CA,16
Baltimore MD,15
Augusta GA,15
Palm Springs CA,13
Anchorage AK,13
Las Vegas NV,13
Washington DC (Hagerstown MD),12
Monterey-Salinas CA,12
New York NY,12
Los Angeles CA,11
Honolulu HI,11
Miami-Ft. Lauderdale FL,10
Portland OR,8
Greenwood-Greenville MS,0
Glendive MT,0
Fairbanks AK,0
Alpena MI,0
Alexandria LA,0
Meridian MS,0
Helena MT,0
Juneau AK,0
Parkersburg WV,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Mankato MN,0
Presque Isle ME,0
Twin Falls ID,0
Victoria TX,0
Yuma AZ-El Centro CA,0
