DMA,Zach Bryan
Harrisburg-Lancaster-Lebanon-York PA,33
Utica NY,33
Champaign & Springfield-Decatur IL,33
Lansing MI,32
Albuquerque-Santa Fe NM,32
Detroit MI,32
Madison WI,32
Alexandria LA,31
Syracuse NY,31
Savannah GA,31
Waco-Temple-Bryan TX,31
Portland-Auburn ME,31
Columbus-Tupelo-West Point MS,31
Florence-Myrtle Beach SC,31
Green Bay-Appleton WI,31
Albany GA,30
Shreveport LA,30
Erie PA,30
Dothan AL,30
Macon GA,30
Columbus GA,29
St. Louis MO,29
Wausau-Rhinelander WI,29
Atlanta GA,28
Montgomery (Selma) AL,28
Philadelphia PA,28
Rockford IL,27
Idaho Falls-Pocatello ID,27
Reno NV,27
Boston MA-Manchester NH,27
Grand Junction-Montrose CO,27
Norfolk-Portsmouth-Newport News VA,27
Dallas-Ft. Worth TX,26
Rochester NY,26
Tampa-St. Petersburg (Sarasota) FL,26
Austin TX,25
Hartford & New Haven CT,25
Augusta GA,24
Bend OR,24
Colorado Springs-Pueblo CO,24
Chicago IL,24
Memphis TN,24
Jacksonville FL,24
Salt Lake City UT,24
Yakima-Pasco-Richland-Kennewick WA,24
Milwaukee WI,24
Columbia SC,23
Orlando-Daytona Beach-Melbourne FL,23
Anchorage AK,22
Gainesville FL,22
El Paso TX,22
Santa Barbara-Santa Maria-San Luis Obispo CA,21
Phoenix AZ,21
Salisbury MD,21
Spokane WA,20
Harlingen-Weslaco-Brownsville-McAllen TX,20
Houston TX,19
Springfield-Holyoke MA,19
Richmond-Petersburg VA,19
Providence RI-New Bedford MA,19
Seattle-Tacoma WA,19
Sacramento-Stockton-Modesto CA,18
Monterey-Salinas CA,18
Laredo TX,18
San Diego CA,17
Ft. Myers-Naples FL,17
Baltimore MD,16
Bakersfield CA,16
Tucson (Sierra Vista) AZ,16
San Francisco-Oakland-San Jose CA,14
Fresno-Visalia CA,14
West Palm Beach-Ft. Pierce FL,14
Honolulu HI,13
Yuma AZ-El Centro CA,13
New York NY,12
Las Vegas NV,12
Washington DC (Hagerstown MD),11
Eugene OR,11
Miami-Ft. Lauderdale FL,10
Los Angeles CA,10
Palm Springs CA,9
Portland OR,9
Glendive MT,0
Charlottesville VA,0
Alpena MI,0
Eureka CA,0
Fairbanks AK,0
Greenwood-Greenville MS,0
North Platte NE,0
Lafayette IN,0
Juneau AK,0
Helena MT,0
Meridian MS,0
Presque Isle ME,0
Victoria TX,0
