DMA,Zach Bryan
Fargo-Valley City ND,100
Great Falls MT,90
Rapid City SD,85
Zanesville OH,85
Minot-Bismarck-Dickinson(Williston) ND,84
Casper-Riverton WY,79
Sioux Falls(Mitchell) SD,76
Des Moines-Ames IA,75
Omaha NE,74
Watertown NY,73
Johnstown-Altoona PA,72
Sherman TX-Ada OK,71
Charleston-Huntington WV,70
Quincy IL-Hannibal MO-Keokuk IA,66
Parkersburg WV,66
Lima OH,65
Ottumwa IA-Kirksville MO,63
Mankato MN,62
Bluefield-Beckley-Oak Hill WV,61
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,59
Abilene-Sweetwater TX,58
Clarksburg-Weston WV,58
Cincinnati OH,57
Terre Haute IN,57
Tulsa OK,56
Wichita Falls TX & Lawton OK,56
Lubbock TX,55
Lexington KY,55
Oklahoma City OK,55
Tri-Cities TN-VA,55
Topeka KS,53
Wheeling WV-Steubenville OH,53
Knoxville TN,52
Lafayette LA,52
Lake Charles LA,52
Duluth MN-Superior WI,52
Marquette MI,51
Evansville IN,50
Sioux City IA,49
Wilmington NC,49
Little Rock-Pine Bluff AR,49
Nashville TN,49
Birmingham AL,49
Greenville-New Bern-Washington NC,49
Minneapolis-St. Paul MN,48
Biloxi-Gulfport MS,48
"Billings, MT",48
Albany-Schenectady-Troy NY,48
Indianapolis IN,48
Jackson TN,48
Springfield MO,47
Missoula MT,47
Kansas City MO,47
Joplin MO-Pittsburg KS,47
Bowling Green KY,47
New Orleans LA,47
Pittsburgh PA,46
Odessa-Midland TX,46
St. Joseph MO,46
Corpus Christi TX,45
Ft. Smith-Fayetteville-Springdale-Rogers AR,45
Rochester MN-Mason City IA-Austin MN,45
Louisville KY,45
Lincoln & Hastings-Kearney NE,45
La Crosse-Eau Claire WI,45
Binghamton NY,45
Twin Falls ID,44
Tyler-Longview(Lufkin & Nacogdoches) TX,44
Cheyenne WY-Scottsbluff NE,44
Flint-Saginaw-Bay City MI,44
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,44
Columbia-Jefferson City MO,44
Harrisonburg VA,44
Amarillo TX,43
Roanoke-Lynchburg VA,43
Charleston SC,43
Beaumont-Port Arthur TX,42
Jackson MS,42
Hattiesburg-Laurel MS,42
Chattanooga TN,41
Baton Rouge LA,40
Dayton OH,40
Wichita-Hutchinson KS,40
Toledo OH,40
San Angelo TX,40
Medford-Klamath Falls OR,40
Panama City FL,40
Peoria-Bloomington IL,39
Elmira NY,38
Chico-Redding CA,38
Butte-Bozeman MT,38
Greenville-Spartanburg SC-Asheville NC-Anderson SC,38
San Antonio TX,38
Monroe LA-El Dorado AR,37
Wilkes Barre-Scranton PA,37
Cleveland-Akron (Canton) OH,37
Burlington VT-Plattsburgh NY,37
Columbus OH,37
Traverse City-Cadillac MI,37
Raleigh-Durham (Fayetteville) NC,37
Bangor ME,36
Ft. Wayne IN,36
Grand Rapids-Kalamazoo-Battle Creek MI,36
Boise ID,36
Youngstown OH,36
Mobile AL-Pensacola (Ft. Walton Beach) FL,35
Denver CO,35
South Bend-Elkhart IN,35
Jonesboro AR,35
Huntsville-Decatur (Florence) AL,35
Davenport IA-Rock Island-Moline IL,35
Buffalo NY,34
Greensboro-High Point-Winston Salem NC,34
Tallahassee FL-Thomasville GA,33
Charlotte NC,33
