DMA,Zach Bryan
Helena MT,100
Casper-Riverton WY,85
Parkersburg WV,79
Bluefield-Beckley-Oak Hill WV,73
Joplin MO-Pittsburg KS,66
Great Falls MT,63
Charleston-Huntington WV,63
Marquette MI,60
Quincy IL-Hannibal MO-Keokuk IA,57
Johnstown-Altoona PA,57
"Billings, MT",56
Terre Haute IN,53
Lexington KY,53
Tulsa OK,53
Tri-Cities TN-VA,51
Columbus-Tupelo-West Point MS,51
Des Moines-Ames IA,50
Lima OH,50
Sioux Falls(Mitchell) SD,48
Fargo-Valley City ND,48
Oklahoma City OK,48
Minot-Bismarck-Dickinson(Williston) ND,47
Clarksburg-Weston WV,47
Missoula MT,47
Amarillo TX,47
Traverse City-Cadillac MI,46
Butte-Bozeman MT,46
Wausau-Rhinelander WI,46
St. Joseph MO,45
Lafayette LA,45
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,44
Columbia-Jefferson City MO,44
Sherman TX-Ada OK,44
Lincoln & Hastings-Kearney NE,43
Wichita Falls TX & Lawton OK,43
Grand Junction-Montrose CO,42
Watertown NY,41
Rapid City SD,41
Youngstown OH,40
Bend OR,40
Medford-Klamath Falls OR,39
San Angelo TX,39
Little Rock-Pine Bluff AR,39
Knoxville TN,39
Roanoke-Lynchburg VA,38
Lake Charles LA,37
Cincinnati OH,37
La Crosse-Eau Claire WI,36
Louisville KY,36
Pittsburgh PA,36
Indianapolis IN,36
Evansville IN,36
Charlottesville VA,36
Springfield MO,36
Chattanooga TN,36
Ft. Smith-Fayetteville-Springdale-Rogers AR,35
Nashville TN,35
Burlington VT-Plattsburgh NY,35
Wilkes Barre-Scranton PA,34
Topeka KS,34
Birmingham AL,34
Twin Falls ID,34
Portland-Auburn ME,34
Toledo OH,33
Wilmington NC,33
Albany-Schenectady-Troy NY,33
Peoria-Bloomington IL,33
Boise ID,32
Sioux City IA,32
New Orleans LA,32
Duluth MN-Superior WI,32
Flint-Saginaw-Bay City MI,32
Huntsville-Decatur (Florence) AL,31
Bangor ME,31
Albany GA,30
Binghamton NY,30
Biloxi-Gulfport MS,30
Beaumont-Port Arthur TX,30
Greenville-New Bern-Washington NC,30
Wichita-Hutchinson KS,30
Jackson TN,30
Hattiesburg-Laurel MS,30
St. Louis MO,30
Macon GA,29
Dayton OH,29
Anchorage AK,29
Minneapolis-St. Paul MN,29
Lubbock TX,29
Abilene-Sweetwater TX,28
Wheeling WV-Steubenville OH,28
Rochester MN-Mason City IA-Austin MN,28
Odessa-Midland TX,28
Dothan AL,28
Davenport IA-Rock Island-Moline IL,28
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,28
Grand Rapids-Kalamazoo-Battle Creek MI,27
Bowling Green KY,27
Chico-Redding CA,27
Greenville-Spartanburg SC-Asheville NC-Anderson SC,27
Colorado Springs-Pueblo CO,27
Jonesboro AR,27
Kansas City MO,27
Albuquerque-Santa Fe NM,27
Charleston SC,26
Cleveland-Akron (Canton) OH,26
Ft. Wayne IN,26
Harrisonburg VA,26
San Antonio TX,26
Tyler-Longview(Lufkin & Nacogdoches) TX,26
Spokane WA,25
Syracuse NY,25
Jackson MS,25
Utica NY,25
Lansing MI,25
Denver CO,25
Eugene OR,25
Baton Rouge LA,24
Columbus OH,24
Reno NV,24
Raleigh-Durham (Fayetteville) NC,24
Shreveport LA,24
Savannah GA,24
Tallahassee FL-Thomasville GA,24
Green Bay-Appleton WI,24
Buffalo NY,24
Champaign & Springfield-Decatur IL,24
Detroit MI,23
Madison WI,23
South Bend-Elkhart IN,23
Corpus Christi TX,23
Salt Lake City UT,22
Monroe LA-El Dorado AR,22
Florence-Myrtle Beach SC,22
Mobile AL-Pensacola (Ft. Walton Beach) FL,22
Panama City FL,22
Waco-Temple-Bryan TX,22
Milwaukee WI,21
Phoenix AZ,21
Charlotte NC,21
Atlanta GA,21
Jacksonville FL,21
Idaho Falls-Pocatello ID,21
Dallas-Ft. Worth TX,21
Columbus GA,20
Harlingen-Weslaco-Brownsville-McAllen TX,20
Gainesville FL,20
Santa Barbara-Santa Maria-San Luis Obispo CA,20
Austin TX,20
Greensboro-High Point-Winston Salem NC,19
Chicago IL,19
Philadelphia PA,19
Harrisburg-Lancaster-Lebanon-York PA,19
Palm Springs CA,19
Memphis TN,19
Hartford & New Haven CT,19
Providence RI-New Bedford MA,19
Boston MA-Manchester NH,18
Honolulu HI,18
Orlando-Daytona Beach-Melbourne FL,18
Yakima-Pasco-Richland-Kennewick WA,18
Norfolk-Portsmouth-Newport News VA,18
El Paso TX,17
San Diego CA,17
Salisbury MD,17
Sacramento-Stockton-Modesto CA,17
Richmond-Petersburg VA,17
Omaha NE,17
Montgomery (Selma) AL,17
Tucson (Sierra Vista) AZ,16
Springfield-Holyoke MA,16
Seattle-Tacoma WA,16
Tampa-St. Petersburg (Sarasota) FL,16
Houston TX,15
Monterey-Salinas CA,15
Rochester NY,15
Laredo TX,15
Columbia SC,15
Augusta GA,14
Bakersfield CA,14
Las Vegas NV,14
Yuma AZ-El Centro CA,14
Ft. Myers-Naples FL,14
Fresno-Visalia CA,13
West Palm Beach-Ft. Pierce FL,13
San Francisco-Oakland-San Jose CA,11
New York NY,10
Baltimore MD,10
Miami-Ft. Lauderdale FL,9
Portland OR,9
Washington DC (Hagerstown MD),9
Los Angeles CA,8
Alexandria LA,0
Cheyenne WY-Scottsbluff NE,0
Alpena MI,0
Greenwood-Greenville MS,0
Glendive MT,0
Elmira NY,0
Fairbanks AK,0
Eureka CA,0
Erie PA,0
Lafayette IN,0
Juneau AK,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Meridian MS,0
Mankato MN,0
Presque Isle ME,0
Rockford IL,0
Victoria TX,0
Zanesville OH,0
