DMA,Zach Bryan
Lubbock TX,28
Greenwood-Greenville MS,28
Cleveland-Akron (Canton) OH,27
Dothan AL,27
Dayton OH,27
Monroe LA-El Dorado AR,27
Bowling Green KY,27
Syracuse NY,27
Savannah GA,26
Shreveport LA,26
Yakima-Pasco-Richland-Kennewick WA,26
Hattiesburg-Laurel MS,26
Harrisonburg VA,26
Omaha NE,26
South Bend-Elkhart IN,26
Baton Rouge LA,26
Charlotte NC,26
Beaumont-Port Arthur TX,26
Binghamton NY,25
Waco-Temple-Bryan TX,25
Jackson MS,25
Raleigh-Durham (Fayetteville) NC,25
Harrisburg-Lancaster-Lebanon-York PA,24
Grand Junction-Montrose CO,24
Boise ID,24
Eugene OR,24
Mobile AL-Pensacola (Ft. Walton Beach) FL,23
Norfolk-Portsmouth-Newport News VA,23
Salt Lake City UT,23
Reno NV,23
Madison WI,23
Montgomery (Selma) AL,22
Spokane WA,22
Colorado Springs-Pueblo CO,22
Columbus GA,22
Harlingen-Weslaco-Brownsville-McAllen TX,21
Greensboro-High Point-Winston Salem NC,21
Detroit MI,21
Boston MA-Manchester NH,21
Macon GA,21
Austin TX,21
Panama City FL,21
Dallas-Ft. Worth TX,20
Philadelphia PA,20
Tallahassee FL-Thomasville GA,20
Jacksonville FL,20
Lansing MI,19
Rochester NY,19
Hartford & New Haven CT,19
Sacramento-Stockton-Modesto CA,19
San Antonio TX,19
Columbia SC,19
Chicago IL,19
Anchorage AK,19
Atlanta GA,19
Memphis TN,18
Phoenix AZ,18
Bakersfield CA,18
Charlottesville VA,18
Tampa-St. Petersburg (Sarasota) FL,17
Richmond-Petersburg VA,17
Springfield-Holyoke MA,17
Milwaukee WI,17
Augusta GA,17
Ft. Myers-Naples FL,16
Tucson (Sierra Vista) AZ,16
Providence RI-New Bedford MA,16
Salisbury MD,16
Gainesville FL,16
Orlando-Daytona Beach-Melbourne FL,15
San Diego CA,15
Houston TX,15
Seattle-Tacoma WA,15
San Francisco-Oakland-San Jose CA,14
Rockford IL,14
El Paso TX,14
Fresno-Visalia CA,13
Baltimore MD,12
West Palm Beach-Ft. Pierce FL,12
Palm Springs CA,12
Las Vegas NV,12
Laredo TX,12
Honolulu HI,11
Monterey-Salinas CA,11
Santa Barbara-Santa Maria-San Luis Obispo CA,11
Yuma AZ-El Centro CA,10
Miami-Ft. Lauderdale FL,10
New York NY,10
Los Angeles CA,9
Portland OR,8
Washington DC (Hagerstown MD),2
Glendive MT,0
Fairbanks AK,0
Eureka CA,0
Alpena MI,0
Parkersburg WV,0
North Platte NE,0
Lafayette IN,0
Juneau AK,0
Helena MT,0
Presque Isle ME,0
Victoria TX,0
Zanesville OH,0
