DMA,Zach Bryan
Casper-Riverton WY,100
Great Falls MT,76
Clarksburg-Weston WV,71
Minot-Bismarck-Dickinson(Williston) ND,71
Fargo-Valley City ND,67
Des Moines-Ames IA,67
Joplin MO-Pittsburg KS,65
Johnstown-Altoona PA,60
Mankato MN,58
Bluefield-Beckley-Oak Hill WV,58
Rapid City SD,58
Charleston-Huntington WV,57
Springfield MO,57
Lima OH,55
Tri-Cities TN-VA,55
Sioux Falls(Mitchell) SD,54
Terre Haute IN,54
St. Joseph MO,53
Oklahoma City OK,52
Elmira NY,51
Sioux City IA,51
Quincy IL-Hannibal MO-Keokuk IA,51
Watertown NY,50
Lafayette LA,50
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,50
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,48
Lexington KY,48
Ottumwa IA-Kirksville MO,47
Marquette MI,47
Tulsa OK,47
Wichita Falls TX & Lawton OK,46
Wheeling WV-Steubenville OH,45
Sherman TX-Ada OK,45
Knoxville TN,45
Duluth MN-Superior WI,45
Cincinnati OH,45
Lake Charles LA,43
Columbus-Tupelo-West Point MS,42
Albany-Schenectady-Troy NY,42
Traverse City-Cadillac MI,42
Lincoln & Hastings-Kearney NE,41
Birmingham AL,41
Abilene-Sweetwater TX,41
"Billings, MT",40
Davenport IA-Rock Island-Moline IL,40
Nashville TN,40
Evansville IN,40
Butte-Bozeman MT,39
Rochester MN-Mason City IA-Austin MN,39
Amarillo TX,38
Louisville KY,38
Utica NY,38
Alexandria LA,38
Wilmington NC,38
La Crosse-Eau Claire WI,37
Wausau-Rhinelander WI,37
Little Rock-Pine Bluff AR,37
Cheyenne WY-Scottsbluff NE,37
Pittsburgh PA,37
St. Louis MO,37
Roanoke-Lynchburg VA,36
Minneapolis-St. Paul MN,35
Green Bay-Appleton WI,35
Topeka KS,35
Tyler-Longview(Lufkin & Nacogdoches) TX,35
New Orleans LA,35
Missoula MT,35
Jackson TN,34
Idaho Falls-Pocatello ID,34
Youngstown OH,34
Indianapolis IN,34
Bangor ME,34
Columbia-Jefferson City MO,34
Florence-Myrtle Beach SC,34
Kansas City MO,34
Champaign & Springfield-Decatur IL,33
Peoria-Bloomington IL,33
Chico-Redding CA,33
Charleston SC,32
Buffalo NY,32
Ft. Wayne IN,32
Albany GA,32
Toledo OH,32
Grand Rapids-Kalamazoo-Battle Creek MI,32
Jonesboro AR,32
Huntsville-Decatur (Florence) AL,32
San Angelo TX,32
Chattanooga TN,30
Wilkes Barre-Scranton PA,30
Wichita-Hutchinson KS,30
Meridian MS,30
Biloxi-Gulfport MS,30
Burlington VT-Plattsburgh NY,30
Greenville-New Bern-Washington NC,30
Erie PA,30
Corpus Christi TX,30
Ft. Smith-Fayetteville-Springdale-Rogers AR,30
Flint-Saginaw-Bay City MI,30
Columbus OH,29
Medford-Klamath Falls OR,29
Odessa-Midland TX,29
Portland-Auburn ME,29
Denver CO,29
Albuquerque-Santa Fe NM,28
Greenville-Spartanburg SC-Asheville NC-Anderson SC,28
Bend OR,28
Twin Falls ID,28
