DMA,Zach Bryan
Boston MA-Manchester NH,20
Sacramento-Stockton-Modesto CA,19
Milwaukee WI,19
Hartford & New Haven CT,19
Memphis TN,19
Philadelphia PA,19
Wilmington NC,19
Providence RI-New Bedford MA,19
Tampa-St. Petersburg (Sarasota) FL,19
Atlanta GA,19
Columbia SC,19
Bakersfield CA,18
Tucson (Sierra Vista) AZ,18
Seattle-Tacoma WA,17
San Diego CA,17
Santa Barbara-Santa Maria-San Luis Obispo CA,17
Gainesville FL,17
Houston TX,17
Rockford IL,17
Laredo TX,17
Orlando-Daytona Beach-Melbourne FL,17
Ft. Myers-Naples FL,17
Rochester NY,16
Richmond-Petersburg VA,16
Fresno-Visalia CA,15
Honolulu HI,15
Las Vegas NV,14
San Francisco-Oakland-San Jose CA,14
West Palm Beach-Ft. Pierce FL,13
Monterey-Salinas CA,13
Springfield-Holyoke MA,13
Baltimore MD,12
New York NY,11
Portland OR,11
Washington DC (Hagerstown MD),10
Miami-Ft. Lauderdale FL,9
Los Angeles CA,7
Greenwood-Greenville MS,0
Great Falls MT,0
Glendive MT,0
Fairbanks AK,0
Eureka CA,0
Cheyenne WY-Scottsbluff NE,0
Alexandria LA,0
Alpena MI,0
Palm Springs CA,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Mankato MN,0
Helena MT,0
Lake Charles LA,0
Juneau AK,0
Lafayette IN,0
Salisbury MD,0
Presque Isle ME,0
Twin Falls ID,0
Topeka KS,0
Victoria TX,0
Utica NY,0
Yuma AZ-El Centro CA,0
Zanesville OH,0
