DMA,Zach Bryan
Joplin MO-Pittsburg KS,100
"Billings, MT",82
Fargo-Valley City ND,65
Traverse City-Cadillac MI,64
Casper-Riverton WY,63
Sherman TX-Ada OK,63
Tulsa OK,63
Marquette MI,62
Johnstown-Altoona PA,62
Charleston-Huntington WV,59
Bluefield-Beckley-Oak Hill WV,59
Sioux Falls(Mitchell) SD,59
Jonesboro AR,58
Butte-Bozeman MT,58
Abilene-Sweetwater TX,57
Minot-Bismarck-Dickinson(Williston) ND,57
Watertown NY,57
Bend OR,54
Tri-Cities TN-VA,54
St. Joseph MO,54
Parkersburg WV,54
Lexington KY,54
Des Moines-Ames IA,53
Oklahoma City OK,53
Evansville IN,52
Bowling Green KY,51
Duluth MN-Superior WI,51
Lima OH,50
Grand Junction-Montrose CO,50
Springfield MO,50
Lincoln & Hastings-Kearney NE,49
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,49
Sioux City IA,46
Amarillo TX,46
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,46
Clarksburg-Weston WV,46
Lubbock TX,45
Lafayette LA,44
Peoria-Bloomington IL,44
Wheeling WV-Steubenville OH,43
Quincy IL-Hannibal MO-Keokuk IA,43
Knoxville TN,43
Columbia-Jefferson City MO,43
Ft. Smith-Fayetteville-Springdale-Rogers AR,42
Dothan AL,42
Cincinnati OH,42
Rapid City SD,42
Pittsburgh PA,41
Bangor ME,41
Meridian MS,41
Wichita Falls TX & Lawton OK,40
Terre Haute IN,40
Little Rock-Pine Bluff AR,40
Elmira NY,40
Davenport IA-Rock Island-Moline IL,40
Columbus-Tupelo-West Point MS,39
Chico-Redding CA,39
Tyler-Longview(Lufkin & Nacogdoches) TX,39
Medford-Klamath Falls OR,37
Rochester MN-Mason City IA-Austin MN,37
Portland-Auburn ME,37
Wausau-Rhinelander WI,37
Huntsville-Decatur (Florence) AL,37
Jackson TN,37
Burlington VT-Plattsburgh NY,37
Green Bay-Appleton WI,36
Nashville TN,36
Chattanooga TN,36
Birmingham AL,36
Toledo OH,36
Wichita-Hutchinson KS,35
St. Louis MO,35
Indianapolis IN,35
Boise ID,35
Albany-Schenectady-Troy NY,35
Kansas City MO,34
Shreveport LA,34
Wilkes Barre-Scranton PA,34
New Orleans LA,34
Greenville-New Bern-Washington NC,34
Dayton OH,34
Champaign & Springfield-Decatur IL,33
Hattiesburg-Laurel MS,33
Louisville KY,33
Roanoke-Lynchburg VA,33
Youngstown OH,33
Monroe LA-El Dorado AR,32
San Angelo TX,32
Missoula MT,32
Minneapolis-St. Paul MN,32
Grand Rapids-Kalamazoo-Battle Creek MI,32
Florence-Myrtle Beach SC,32
Corpus Christi TX,32
Cleveland-Akron (Canton) OH,32
Reno NV,31
Flint-Saginaw-Bay City MI,30
Greenville-Spartanburg SC-Asheville NC-Anderson SC,30
Ft. Wayne IN,30
Albuquerque-Santa Fe NM,30
Odessa-Midland TX,30
Beaumont-Port Arthur TX,30
Savannah GA,29
Waco-Temple-Bryan TX,29
Spokane WA,29
Denver CO,29
Columbus OH,28
Albany GA,28
Panama City FL,28
Montgomery (Selma) AL,28
Harrisonburg VA,28
Mobile AL-Pensacola (Ft. Walton Beach) FL,27
Jackson MS,27
Binghamton NY,27
Erie PA,27
Madison WI,26
Eugene OR,26
South Bend-Elkhart IN,26
La Crosse-Eau Claire WI,26
Idaho Falls-Pocatello ID,26
Omaha NE,26
Salt Lake City UT,26
Baton Rouge LA,25
Jacksonville FL,25
Raleigh-Durham (Fayetteville) NC,25
Charlottesville VA,25
Columbus GA,25
Biloxi-Gulfport MS,25
Colorado Springs-Pueblo CO,25
Charleston SC,25
Syracuse NY,24
Anchorage AK,24
Augusta GA,24
Charlotte NC,24
Macon GA,23
Lansing MI,23
Detroit MI,23
El Paso TX,23
Buffalo NY,22
Dallas-Ft. Worth TX,22
Harrisburg-Lancaster-Lebanon-York PA,22
Phoenix AZ,22
Harlingen-Weslaco-Brownsville-McAllen TX,22
Yakima-Pasco-Richland-Kennewick WA,22
Chicago IL,21
Austin TX,21
Greensboro-High Point-Winston Salem NC,21
Norfolk-Portsmouth-Newport News VA,21
Tallahassee FL-Thomasville GA,21
San Antonio TX,20
