DMA,Zach Bryan
Tyler-Longview(Lufkin & Nacogdoches) TX,50
Ft. Wayne IN,50
Buffalo NY,49
Quincy IL-Hannibal MO-Keokuk IA,48
Kansas City MO,48
Grand Rapids-Kalamazoo-Battle Creek MI,48
Toledo OH,48
Dayton OH,47
Greenwood-Greenville MS,47
Eugene OR,46
Greenville-New Bern-Washington NC,46
Denver CO,45
New Orleans LA,45
St. Louis MO,45
Waco-Temple-Bryan TX,45
Peoria-Bloomington IL,45
Charleston SC,45
Corpus Christi TX,44
Columbus OH,44
Champaign & Springfield-Decatur IL,43
Cleveland-Akron (Canton) OH,43
Florence-Myrtle Beach SC,42
Boise ID,42
Biloxi-Gulfport MS,42
Rochester MN-Mason City IA-Austin MN,42
Savannah GA,42
Wichita-Hutchinson KS,41
Columbus GA,41
Huntsville-Decatur (Florence) AL,41
Lansing MI,40
Syracuse NY,40
Jackson MS,40
Gainesville FL,40
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
Utica NY,40
Topeka KS,39
Providence RI-New Bedford MA,39
Meridian MS,38
Spokane WA,38
Portland-Auburn ME,38
Albuquerque-Santa Fe NM,38
Shreveport LA,37
Mobile AL-Pensacola (Ft. Walton Beach) FL,37
Salt Lake City UT,37
Boston MA-Manchester NH,37
Baton Rouge LA,37
Odessa-Midland TX,36
Harrisburg-Lancaster-Lebanon-York PA,36
Reno NV,36
Omaha NE,36
Raleigh-Durham (Fayetteville) NC,36
Yakima-Pasco-Richland-Kennewick WA,36
Charlotte NC,36
Eureka CA,36
Jacksonville FL,35
South Bend-Elkhart IN,35
Madison WI,35
Monroe LA-El Dorado AR,35
Detroit MI,35
Austin TX,34
Tallahassee FL-Thomasville GA,34
Rochester NY,34
Hartford & New Haven CT,34
Norfolk-Portsmouth-Newport News VA,34
Philadelphia PA,33
Columbia SC,33
Springfield-Holyoke MA,33
Albany GA,31
Beaumont-Port Arthur TX,31
Colorado Springs-Pueblo CO,31
Greensboro-High Point-Winston Salem NC,31
Dothan AL,31
Phoenix AZ,31
Panama City FL,31
Dallas-Ft. Worth TX,30
El Paso TX,30
Seattle-Tacoma WA,29
Atlanta GA,29
Richmond-Petersburg VA,29
San Diego CA,29
Chicago IL,29
Memphis TN,28
Rockford IL,28
Charlottesville VA,28
Anchorage AK,27
Salisbury MD,27
Fresno-Visalia CA,26
Ft. Myers-Naples FL,26
Tucson (Sierra Vista) AZ,26
San Antonio TX,26
Macon GA,26
Milwaukee WI,26
Sacramento-Stockton-Modesto CA,25
Orlando-Daytona Beach-Melbourne FL,25
Tampa-St. Petersburg (Sarasota) FL,25
Augusta GA,25
Santa Barbara-Santa Maria-San Luis Obispo CA,24
Montgomery (Selma) AL,23
Harlingen-Weslaco-Brownsville-McAllen TX,22
Bakersfield CA,22
Houston TX,22
Las Vegas NV,21
Monterey-Salinas CA,20
Palm Springs CA,20
Baltimore MD,19
West Palm Beach-Ft. Pierce FL,19
Yuma AZ-El Centro CA,19
San Francisco-Oakland-San Jose CA,18
New York NY,16
Honolulu HI,15
Laredo TX,14
Los Angeles CA,14
Portland OR,14
Miami-Ft. Lauderdale FL,14
Washington DC (Hagerstown MD),6
Alpena MI,0
Glendive MT,0
Fairbanks AK,0
Alexandria LA,0
Lafayette IN,0
North Platte NE,0
Juneau AK,0
Presque Isle ME,0
Victoria TX,0
