DMA,Zach Bryan
Casper-Riverton WY,100
Parkersburg WV,98
Bluefield-Beckley-Oak Hill WV,86
Minot-Bismarck-Dickinson(Williston) ND,79
Elmira NY,78
St. Joseph MO,77
Clarksburg-Weston WV,76
Lexington KY,72
Charleston-Huntington WV,69
Joplin MO-Pittsburg KS,69
Rapid City SD,67
Johnstown-Altoona PA,65
Sioux Falls(Mitchell) SD,64
Cheyenne WY-Scottsbluff NE,64
Des Moines-Ames IA,63
Oklahoma City OK,63
Quincy IL-Hannibal MO-Keokuk IA,61
Watertown NY,61
Great Falls MT,58
Marquette MI,57
Terre Haute IN,56
Springfield MO,55
Butte-Bozeman MT,55
Rochester MN-Mason City IA-Austin MN,55
Medford-Klamath Falls OR,54
Knoxville TN,52
Sioux City IA,52
Missoula MT,51
Traverse City-Cadillac MI,50
Topeka KS,50
Fargo-Valley City ND,49
Little Rock-Pine Bluff AR,49
Tri-Cities TN-VA,49
Evansville IN,49
Tulsa OK,48
Wichita Falls TX & Lawton OK,48
Jackson TN,47
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,46
Albany-Schenectady-Troy NY,45
Greenville-New Bern-Washington NC,45
Amarillo TX,45
Cincinnati OH,45
Pittsburgh PA,43
Columbia-Jefferson City MO,43
Louisville KY,43
Lafayette LA,42
Flint-Saginaw-Bay City MI,42
Davenport IA-Rock Island-Moline IL,42
Abilene-Sweetwater TX,42
Chico-Redding CA,41
Grand Junction-Montrose CO,41
Twin Falls ID,40
Odessa-Midland TX,40
Ft. Smith-Fayetteville-Springdale-Rogers AR,40
Burlington VT-Plattsburgh NY,40
Corpus Christi TX,39
Panama City FL,39
Lincoln & Hastings-Kearney NE,39
San Angelo TX,38
Nashville TN,38
Bowling Green KY,38
Indianapolis IN,37
"Billings, MT",37
Roanoke-Lynchburg VA,37
Lake Charles LA,37
Birmingham AL,37
Huntsville-Decatur (Florence) AL,36
Chattanooga TN,36
Columbus-Tupelo-West Point MS,36
Wheeling WV-Steubenville OH,36
Wilmington NC,35
New Orleans LA,35
Harrisonburg VA,35
Wausau-Rhinelander WI,35
Minneapolis-St. Paul MN,35
Wilkes Barre-Scranton PA,34
Utica NY,34
Boise ID,34
Bangor ME,34
Albuquerque-Santa Fe NM,33
Cleveland-Akron (Canton) OH,33
Charleston SC,33
Syracuse NY,33
Jackson MS,33
Wichita-Hutchinson KS,33
Sherman TX-Ada OK,33
Duluth MN-Superior WI,33
Champaign & Springfield-Decatur IL,33
Grand Rapids-Kalamazoo-Battle Creek MI,33
Shreveport LA,32
Binghamton NY,32
St. Louis MO,32
Kansas City MO,31
Biloxi-Gulfport MS,31
Peoria-Bloomington IL,31
Toledo OH,31
Dayton OH,30
Columbus OH,30
Rockford IL,30
Jonesboro AR,30
Buffalo NY,29
South Bend-Elkhart IN,29
Montgomery (Selma) AL,29
La Crosse-Eau Claire WI,29
Harrisburg-Lancaster-Lebanon-York PA,29
Beaumont-Port Arthur TX,29
Greenville-Spartanburg SC-Asheville NC-Anderson SC,28
Portland-Auburn ME,28
San Antonio TX,27
Madison WI,27
Green Bay-Appleton WI,27
Erie PA,27
Denver CO,27
Raleigh-Durham (Fayetteville) NC,26
Anchorage AK,26
Baton Rouge LA,26
Columbus GA,26
Florence-Myrtle Beach SC,26
Greensboro-High Point-Winston Salem NC,26
Ft. Wayne IN,26
Austin TX,25
Salisbury MD,25
Spokane WA,24
Charlotte NC,24
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,24
Detroit MI,24
Mobile AL-Pensacola (Ft. Walton Beach) FL,24
Monroe LA-El Dorado AR,24
Tyler-Longview(Lufkin & Nacogdoches) TX,24
Omaha NE,23
Dallas-Ft. Worth TX,23
Waco-Temple-Bryan TX,23
Reno NV,23
Norfolk-Portsmouth-Newport News VA,23
Eugene OR,23
Gainesville FL,23
Chicago IL,23
Colorado Springs-Pueblo CO,22
Rochester NY,22
Tucson (Sierra Vista) AZ,22
Albany GA,22
Atlanta GA,22
Lubbock TX,22
Boston MA-Manchester NH,21
Augusta GA,21
Harlingen-Weslaco-Brownsville-McAllen TX,21
Jacksonville FL,21
Lansing MI,21
Philadelphia PA,21
Phoenix AZ,21
Springfield-Holyoke MA,21
Savannah GA,21
Salt Lake City UT,21
Tallahassee FL-Thomasville GA,20
Yakima-Pasco-Richland-Kennewick WA,20
Tampa-St. Petersburg (Sarasota) FL,20
Columbia SC,20
Palm Springs CA,20
Macon GA,19
Richmond-Petersburg VA,19
Memphis TN,19
Bakersfield CA,18
Sacramento-Stockton-Modesto CA,18
Seattle-Tacoma WA,18
Milwaukee WI,18
Orlando-Daytona Beach-Melbourne FL,18
El Paso TX,18
Hartford & New Haven CT,18
San Diego CA,17
Houston TX,17
Santa Barbara-Santa Maria-San Luis Obispo CA,17
Laredo TX,16
Youngstown OH,16
Fresno-Visalia CA,16
Monterey-Salinas CA,16
Providence RI-New Bedford MA,15
Ft. Myers-Naples FL,15
Honolulu HI,14
Las Vegas NV,14
San Francisco-Oakland-San Jose CA,13
West Palm Beach-Ft. Pierce FL,12
Baltimore MD,12
Portland OR,12
New York NY,11
Miami-Ft. Lauderdale FL,10
Los Angeles CA,10
Washington DC (Hagerstown MD),10
Alpena MI,0
Eureka CA,0
Fairbanks AK,0
Dothan AL,0
Charlottesville VA,0
Alexandria LA,0
Bend OR,0
Greenwood-Greenville MS,0
Glendive MT,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Idaho Falls-Pocatello ID,0
