DMA,Zach Bryan
Wichita-Hutchinson KS,29
El Paso TX,28
Columbus-Tupelo-West Point MS,28
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,28
Grand Rapids-Kalamazoo-Battle Creek MI,28
Cleveland-Akron (Canton) OH,28
Jackson MS,28
New Orleans LA,28
Jackson TN,28
Wausau-Rhinelander WI,28
Toledo OH,27
Buffalo NY,27
Charlottesville VA,27
Tyler-Longview(Lufkin & Nacogdoches) TX,27
Raleigh-Durham (Fayetteville) NC,26
Portland-Auburn ME,26
Madison WI,26
Columbus OH,26
Charleston SC,26
Shreveport LA,26
Mobile AL-Pensacola (Ft. Walton Beach) FL,26
Denver CO,26
Eugene OR,25
Baton Rouge LA,25
Dayton OH,25
Rockford IL,25
Salisbury MD,25
Savannah GA,25
Rochester MN-Mason City IA-Austin MN,25
South Bend-Elkhart IN,25
Syracuse NY,25
Huntsville-Decatur (Florence) AL,25
Dothan AL,25
Harrisonburg VA,24
Tallahassee FL-Thomasville GA,24
Ft. Wayne IN,24
Montgomery (Selma) AL,24
Colorado Springs-Pueblo CO,24
Gainesville FL,24
Jacksonville FL,23
Florence-Myrtle Beach SC,23
Spokane WA,23
Tucson (Sierra Vista) AZ,23
Waco-Temple-Bryan TX,23
Yakima-Pasco-Richland-Kennewick WA,23
Austin TX,23
Dallas-Ft. Worth TX,22
Erie PA,22
San Antonio TX,22
Omaha NE,22
Milwaukee WI,22
Harrisburg-Lancaster-Lebanon-York PA,22
Columbia SC,22
Phoenix AZ,22
Sacramento-Stockton-Modesto CA,21
Charlotte NC,21
Norfolk-Portsmouth-Newport News VA,21
Greensboro-High Point-Winston Salem NC,21
Anchorage AK,21
Augusta GA,20
Detroit MI,20
Hartford & New Haven CT,20
Biloxi-Gulfport MS,20
Atlanta GA,19
Memphis TN,19
Rochester NY,19
Seattle-Tacoma WA,19
Philadelphia PA,19
Chicago IL,19
Albany GA,18
Green Bay-Appleton WI,18
Boston MA-Manchester NH,18
Fresno-Visalia CA,17
Tampa-St. Petersburg (Sarasota) FL,17
San Diego CA,17
Orlando-Daytona Beach-Melbourne FL,17
Houston TX,17
Columbus GA,17
Harlingen-Weslaco-Brownsville-McAllen TX,16
Monterey-Salinas CA,16
Providence RI-New Bedford MA,16
Springfield-Holyoke MA,16
Bakersfield CA,15
West Palm Beach-Ft. Pierce FL,15
Ft. Myers-Naples FL,15
Macon GA,15
Las Vegas NV,15
Honolulu HI,14
Richmond-Petersburg VA,14
San Francisco-Oakland-San Jose CA,14
Palm Springs CA,14
Baltimore MD,13
Santa Barbara-Santa Maria-San Luis Obispo CA,12
Yuma AZ-El Centro CA,11
New York NY,11
Miami-Ft. Lauderdale FL,11
Portland OR,10
Los Angeles CA,8
Washington DC (Hagerstown MD),5
Eureka CA,0
Alpena MI,0
Greenwood-Greenville MS,0
Grand Junction-Montrose CO,0
Glendive MT,0
Fairbanks AK,0
Helena MT,0
Juneau AK,0
Lafayette IN,0
Laredo TX,0
Parkersburg WV,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Presque Isle ME,0
San Angelo TX,0
Twin Falls ID,0
Victoria TX,0
Zanesville OH,0
