DMA,Zach Bryan
Casper-Riverton WY,100
Tulsa OK,71
Great Falls MT,69
Bluefield-Beckley-Oak Hill WV,64
Mankato MN,64
Clarksburg-Weston WV,64
Charleston-Huntington WV,59
Terre Haute IN,58
Quincy IL-Hannibal MO-Keokuk IA,56
Rapid City SD,56
Oklahoma City OK,55
Sherman TX-Ada OK,55
"Billings, MT",53
Joplin MO-Pittsburg KS,52
Cheyenne WY-Scottsbluff NE,52
Des Moines-Ames IA,52
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,52
Wichita Falls TX & Lawton OK,51
Lexington KY,50
Minot-Bismarck-Dickinson(Williston) ND,50
Butte-Bozeman MT,50
Sioux Falls(Mitchell) SD,49
Springfield MO,49
Missoula MT,49
Bangor ME,49
Lafayette LA,48
Tri-Cities TN-VA,48
Johnstown-Altoona PA,47
Medford-Klamath Falls OR,47
Wheeling WV-Steubenville OH,47
Watertown NY,47
Little Rock-Pine Bluff AR,46
Lima OH,46
Traverse City-Cadillac MI,45
Ft. Smith-Fayetteville-Springdale-Rogers AR,45
Meridian MS,44
Greenville-New Bern-Washington NC,43
Duluth MN-Superior WI,43
Marquette MI,43
Lincoln & Hastings-Kearney NE,42
Sioux City IA,42
Abilene-Sweetwater TX,42
Cincinnati OH,42
St. Joseph MO,41
Knoxville TN,40
Evansville IN,40
Lake Charles LA,39
Louisville KY,39
Fargo-Valley City ND,39
Indianapolis IN,38
Roanoke-Lynchburg VA,37
Hattiesburg-Laurel MS,37
Chico-Redding CA,37
Davenport IA-Rock Island-Moline IL,36
Pittsburgh PA,36
Flint-Saginaw-Bay City MI,36
Albany-Schenectady-Troy NY,36
Burlington VT-Plattsburgh NY,36
Kansas City MO,36
Amarillo TX,35
Bowling Green KY,35
Bend OR,35
Birmingham AL,35
Binghamton NY,34
Lubbock TX,34
St. Louis MO,34
Utica NY,34
Champaign & Springfield-Decatur IL,33
Chattanooga TN,33
Youngstown OH,33
Nashville TN,33
Odessa-Midland TX,33
Idaho Falls-Pocatello ID,33
Jonesboro AR,33
Lansing MI,32
Minneapolis-St. Paul MN,32
Wilkes Barre-Scranton PA,32
Albuquerque-Santa Fe NM,32
Corpus Christi TX,32
Elmira NY,32
Alexandria LA,31
Greenville-Spartanburg SC-Asheville NC-Anderson SC,31
Monroe LA-El Dorado AR,31
Reno NV,31
Columbia-Jefferson City MO,31
Salt Lake City UT,30
Topeka KS,30
La Crosse-Eau Claire WI,30
Panama City FL,30
Wilmington NC,30
Peoria-Bloomington IL,29
Boise ID,29
Beaumont-Port Arthur TX,29
