DMA,Zach Bryan
Great Falls MT,100
Joplin MO-Pittsburg KS,87
Lima OH,87
Charleston-Huntington WV,86
Quincy IL-Hannibal MO-Keokuk IA,80
Clarksburg-Weston WV,75
Sioux Falls(Mitchell) SD,75
Tri-Cities TN-VA,74
Lexington KY,73
Missoula MT,73
Sherman TX-Ada OK,70
Butte-Bozeman MT,70
Bluefield-Beckley-Oak Hill WV,69
Oklahoma City OK,66
Topeka KS,64
Watertown NY,64
Bowling Green KY,64
Tulsa OK,63
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,63
Des Moines-Ames IA,62
Terre Haute IN,61
Palm Springs CA,60
Minot-Bismarck-Dickinson(Williston) ND,59
Eureka CA,58
Johnstown-Altoona PA,58
Hattiesburg-Laurel MS,57
Knoxville TN,57
Marquette MI,57
Rapid City SD,57
Little Rock-Pine Bluff AR,55
Cincinnati OH,55
Springfield MO,54
Wichita Falls TX & Lawton OK,54
Twin Falls ID,52
Ft. Smith-Fayetteville-Springdale-Rogers AR,52
Fargo-Valley City ND,52
Wheeling WV-Steubenville OH,51
Chico-Redding CA,50
Louisville KY,50
Pittsburgh PA,50
Youngstown OH,49
Jackson MS,49
Sioux City IA,48
Albany-Schenectady-Troy NY,47
Binghamton NY,47
Columbia-Jefferson City MO,47
Greenville-New Bern-Washington NC,47
Indianapolis IN,46
Elmira NY,46
Duluth MN-Superior WI,46
Evansville IN,45
Birmingham AL,45
Shreveport LA,45
Lincoln & Hastings-Kearney NE,45
Toledo OH,45
Medford-Klamath Falls OR,44
Abilene-Sweetwater TX,44
South Bend-Elkhart IN,44
Jackson TN,43
Jonesboro AR,43
Chattanooga TN,43
Kansas City MO,42
Tyler-Longview(Lufkin & Nacogdoches) TX,42
Wilkes Barre-Scranton PA,42
Wausau-Rhinelander WI,42
Bangor ME,41
St. Louis MO,41
Nashville TN,40
Minneapolis-St. Paul MN,40
La Crosse-Eau Claire WI,40
Traverse City-Cadillac MI,39
Green Bay-Appleton WI,39
Amarillo TX,39
New Orleans LA,39
Wilmington NC,39
Cleveland-Akron (Canton) OH,38
Greenville-Spartanburg SC-Asheville NC-Anderson SC,38
Dayton OH,38
Albany GA,37
Lafayette LA,37
Buffalo NY,37
Grand Rapids-Kalamazoo-Battle Creek MI,37
Idaho Falls-Pocatello ID,37
Peoria-Bloomington IL,36
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,36
Charleston SC,36
Panama City FL,36
Columbus OH,34
Roanoke-Lynchburg VA,34
Florence-Myrtle Beach SC,34
Corpus Christi TX,34
Columbia SC,34
Portland-Auburn ME,33
Albuquerque-Santa Fe NM,33
Flint-Saginaw-Bay City MI,33
Waco-Temple-Bryan TX,33
Champaign & Springfield-Decatur IL,33
Rochester MN-Mason City IA-Austin MN,33
Ft. Wayne IN,32
Greensboro-High Point-Winston Salem NC,32
Wichita-Hutchinson KS,32
Huntsville-Decatur (Florence) AL,32
Mobile AL-Pensacola (Ft. Walton Beach) FL,31
Denver CO,31
Davenport IA-Rock Island-Moline IL,30
Beaumont-Port Arthur TX,30
Raleigh-Durham (Fayetteville) NC,30
Monroe LA-El Dorado AR,30
Jacksonville FL,30
Harrisburg-Lancaster-Lebanon-York PA,30
Columbus-Tupelo-West Point MS,29
Spokane WA,29
Charlotte NC,29
Boise ID,29
Detroit MI,29
Colorado Springs-Pueblo CO,28
Lubbock TX,28
Rockford IL,27
Burlington VT-Plattsburgh NY,27
Baton Rouge LA,27
Biloxi-Gulfport MS,27
San Diego CA,26
Austin TX,26
San Antonio TX,26
Salt Lake City UT,26
Syracuse NY,26
Lansing MI,25
Savannah GA,25
Memphis TN,25
Norfolk-Portsmouth-Newport News VA,25
Boston MA-Manchester NH,25
Dallas-Ft. Worth TX,25
Atlanta GA,25
Richmond-Petersburg VA,24
Hartford & New Haven CT,24
Rochester NY,23
Salisbury MD,23
Yuma AZ-El Centro CA,23
Chicago IL,23
Yakima-Pasco-Richland-Kennewick WA,23
Phoenix AZ,23
Odessa-Midland TX,22
Philadelphia PA,22
Milwaukee WI,22
Columbus GA,22
Harlingen-Weslaco-Brownsville-McAllen TX,22
Honolulu HI,22
Sacramento-Stockton-Modesto CA,21
Tucson (Sierra Vista) AZ,21
Orlando-Daytona Beach-Melbourne FL,21
Anchorage AK,21
Eugene OR,20
Springfield-Holyoke MA,20
Augusta GA,20
Omaha NE,20
Reno NV,20
Madison WI,20
Providence RI-New Bedford MA,19
Seattle-Tacoma WA,19
Tampa-St. Petersburg (Sarasota) FL,19
Houston TX,19
Montgomery (Selma) AL,19
Tallahassee FL-Thomasville GA,18
Monterey-Salinas CA,18
El Paso TX,18
Macon GA,18
Fresno-Visalia CA,17
Ft. Myers-Naples FL,17
Baltimore MD,16
West Palm Beach-Ft. Pierce FL,15
Las Vegas NV,15
San Francisco-Oakland-San Jose CA,15
Bakersfield CA,15
Santa Barbara-Santa Maria-San Luis Obispo CA,14
Miami-Ft. Lauderdale FL,13
Los Angeles CA,13
Portland OR,12
New York NY,12
Washington DC (Hagerstown MD),10
Gainesville FL,0
Greenwood-Greenville MS,0
Grand Junction-Montrose CO,0
Erie PA,0
Dothan AL,0
Glendive MT,0
Cheyenne WY-Scottsbluff NE,0
Charlottesville VA,0
Casper-Riverton WY,0
Bend OR,0
"Billings, MT",0
Alexandria LA,0
Alpena MI,0
Fairbanks AK,0
Harrisonburg VA,0
Parkersburg WV,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Mankato MN,0
Meridian MS,0
Lafayette IN,0
Juneau AK,0
Laredo TX,0
Lake Charles LA,0
Helena MT,0
San Angelo TX,0
Presque Isle ME,0
St. Joseph MO,0
Utica NY,0
Victoria TX,0
Zanesville OH,0
